name,has_image,has_label,label_shape,label_plane_shape,label_dtype,label_compression,label_bytes,label_header_error,image_shape,image_plane_shape,image_dtype,image_compression,image_bytes,image_header_error,shape,dtype,values,value_fractions_0,value_fractions_1,n_values,foreground_fraction,border_touch_fraction,per_class_1,surface_class,surface_fraction,surface_thickness_median,surface_thickness_p95,surface_components,surface_fragment_fraction,surface_worst_planarity
s1_z10240_y3840_x2560,True,True,"[300, 300, 300]",,uint8,LZW,1440566,,"[300, 300, 300]",,uint8,LZW,31543280,,"[300, 300, 300]",uint8,"[0, 1]",0.8194962222222222,0.1805037777777778,2,0.1805037777777778,0.019032124494367822,"{'fraction': 0.1805037777777778, 'border_touch_fraction': 0.019032124494367822, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.484600067138672, 'saturated': 0.0}, 'components': {'n_components': 17, 'n_components_ge_min_size': 17, 'largest_component_fraction': 0.08865598791202071, 'fragment_fraction': 0.0, 'median_planarity': 0.010996689535706927, 'worst_planarity': 0.03492894083952528}}",1,0.1805037777777778,4.0,6.0,17,0.0,0.03492894083952528
s1_z10240_y3840_x3840,True,True,"[300, 300, 300]",,uint8,LZW,1470768,,"[300, 300, 300]",,uint8,LZW,30560686,,"[300, 300, 300]",uint8,"[0, 1]",0.833022962962963,0.16697703703703703,2,0.16697703703703703,0.02162994246270279,"{'fraction': 0.16697703703703703, 'border_touch_fraction': 0.02162994246270279, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.2021899223327637, 'saturated': 0.0}, 'components': {'n_components': 18, 'n_components_ge_min_size': 18, 'largest_component_fraction': 0.08810747984863743, 'fragment_fraction': 0.0, 'median_planarity': 0.004632836926005178, 'worst_planarity': 0.008058734725875039}}",1,0.16697703703703703,4.0,6.0,18,0.0,0.008058734725875039
s1_z10240_y4160_x2560,True,True,"[300, 300, 300]",,uint8,LZW,1440649,,"[300, 300, 300]",,uint8,LZW,31162767,,"[300, 300, 300]",uint8,"[0, 1]",0.8153642962962963,0.1846357037037037,2,0.1846357037037037,0.019722320068106085,"{'fraction': 0.1846357037037037, 'border_touch_fraction': 0.019722320068106085, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.557960033416748, 'saturated': 0.0}, 'components': {'n_components': 22, 'n_components_ge_min_size': 22, 'largest_component_fraction': 0.08955191845243206, 'fragment_fraction': 0.0, 'median_planarity': 0.009812158037944663, 'worst_planarity': 0.022709819701018076}}",1,0.1846357037037037,4.0,6.0,22,0.0,0.022709819701018076
s1_z10240_y4160_x2880,True,True,"[300, 300, 300]",,uint8,LZW,1016018,,"[300, 300, 300]",,uint8,LZW,29765717,,"[300, 300, 300]",uint8,"[0, 1]",0.8628432962962963,0.1371567037037037,2,0.1371567037037037,0.020769430802453318,"{'fraction': 0.1371567037037037, 'border_touch_fraction': 0.020769430802453318, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 10.0, 'mean': 3.668720006942749, 'saturated': 0.0}, 'components': {'n_components': 16, 'n_components_ge_min_size': 16, 'largest_component_fraction': 0.13778670571725068, 'fragment_fraction': 0.0, 'median_planarity': 0.007909997339427995, 'worst_planarity': 0.02480558629213414}}",1,0.1371567037037037,4.0,6.0,16,0.0,0.02480558629213414
s1_z10240_y4160_x3200,True,True,"[300, 300, 300]",,uint8,LZW,718944,,"[300, 300, 300]",,uint8,LZW,28009413,,"[300, 300, 300]",uint8,"[0, 1]",0.8728301851851852,0.12716981481481482,2,0.12716981481481482,0.019172381053621797,"{'fraction': 0.12716981481481482, 'border_touch_fraction': 0.019172381053621797, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.3180899620056152, 'saturated': 0.0}, 'components': {'n_components': 13, 'n_components_ge_min_size': 13, 'largest_component_fraction': 0.11925844270638414, 'fragment_fraction': 0.0, 'median_planarity': 0.010698962509652485, 'worst_planarity': 0.024139301837921696}}",1,0.12716981481481482,4.0,6.0,13,0.0,0.024139301837921696
s1_z10240_y4160_x3520,True,True,"[300, 300, 300]",,uint8,LZW,1271193,,"[300, 300, 300]",,uint8,LZW,29395799,,"[300, 300, 300]",uint8,"[0, 1]",0.8512181481481481,0.14878185185185186,2,0.14878185185185186,0.0189613926429697,"{'fraction': 0.14878185185185186, 'border_touch_fraction': 0.0189613926429697, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.576469898223877, 'saturated': 0.0}, 'components': {'n_components': 16, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.1251825317205653, 'fragment_fraction': 9.459536831204522e-06, 'median_planarity': 0.008377853503621257, 'worst_planarity': 0.025871646976393974}}",1,0.14878185185185186,4.0,6.0,16,9.459536831204522e-06,0.025871646976393974
s1_z10240_y4160_x3840,True,True,"[300, 300, 300]",,uint8,LZW,1417177,,"[300, 300, 300]",,uint8,LZW,30342991,,"[300, 300, 300]",uint8,"[0, 1]",0.8397784814814815,0.1602215185185185,2,0.1602215185185185,0.019995233451094677,"{'fraction': 0.1602215185185185, 'border_touch_fraction': 0.019995233451094677, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.277479887008667, 'saturated': 0.0}, 'components': {'n_components': 16, 'n_components_ge_min_size': 16, 'largest_component_fraction': 0.09165920978386174, 'fragment_fraction': 0.0, 'median_planarity': 0.005363766921552117, 'worst_planarity': 0.019053852995576867}}",1,0.1602215185185185,4.0,6.0,16,0.0,0.019053852995576867
s1_z10240_y4480_x2880,True,True,"[300, 300, 300]",,uint8,LZW,916242,,"[300, 300, 300]",,uint8,LZW,29132367,,"[300, 300, 300]",uint8,"[0, 1]",0.8534018888888889,0.14659811111111112,2,0.14659811111111112,0.02151182282425447,"{'fraction': 0.14659811111111112, 'border_touch_fraction': 0.02151182282425447, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.5000600814819336, 'saturated': 0.0}, 'components': {'n_components': 18, 'n_components_ge_min_size': 18, 'largest_component_fraction': 0.11253618800100754, 'fragment_fraction': 0.0, 'median_planarity': 0.005316615391492502, 'worst_planarity': 0.026347822064055063}}",1,0.14659811111111112,4.0,6.0,18,0.0,0.026347822064055063
s1_z10240_y4480_x3200,True,True,"[300, 300, 300]",,uint8,LZW,564398,,"[300, 300, 300]",,uint8,LZW,26439682,,"[300, 300, 300]",uint8,"[0, 1]",0.8842327407407408,0.11576725925925926,2,0.11576725925925926,0.022222108470507238,"{'fraction': 0.11576725925925926, 'border_touch_fraction': 0.022222108470507238, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 10.0, 'mean': 3.322429895401001, 'saturated': 0.0}, 'components': {'n_components': 13, 'n_components_ge_min_size': 12, 'largest_component_fraction': 0.13266656343698532, 'fragment_fraction': 1.9195601903691827e-05, 'median_planarity': 0.006128663217601263, 'worst_planarity': 0.01750521949657353}}",1,0.11576725925925926,4.0,6.0,13,1.9195601903691827e-05,0.01750521949657353
s1_z10240_y4480_x3520,True,True,"[300, 300, 300]",,uint8,LZW,975784,,"[300, 300, 300]",,uint8,LZW,28360799,,"[300, 300, 300]",uint8,"[0, 1]",0.8759351481481481,0.12406485185185186,2,0.12406485185185186,0.020850505007685646,"{'fraction': 0.12406485185185186, 'border_touch_fraction': 0.020850505007685646, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.740299940109253, 'saturated': 0.0}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.14653745905292662, 'fragment_fraction': 0.0, 'median_planarity': 0.007515215168098356, 'worst_planarity': 0.1129237889737227}}",1,0.12406485185185186,4.0,6.0,15,0.0,0.1129237889737227
s1_z10560_y2560_x2560,True,True,"[300, 300, 300]",,uint8,LZW,965258,,"[300, 300, 300]",,uint8,LZW,29364520,,"[300, 300, 300]",uint8,"[0, 1]",0.8661778518518518,0.13382214814814813,2,0.13382214814814813,0.02014669553121639,"{'fraction': 0.13382214814814813, 'border_touch_fraction': 0.02014669553121639, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.4850099086761475, 'saturated': 0.0}, 'components': {'n_components': 14, 'n_components_ge_min_size': 14, 'largest_component_fraction': 0.1327433481364708, 'fragment_fraction': 0.0, 'median_planarity': 0.008797875435751867, 'worst_planarity': 0.036031900523162706}}",1,0.13382214814814813,4.0,6.0,14,0.0,0.036031900523162706
s1_z10560_y2560_x2880,True,True,"[300, 300, 300]",,uint8,LZW,518296,,"[300, 300, 300]",,uint8,LZW,27348008,,"[300, 300, 300]",uint8,"[0, 1]",0.8601466666666666,0.13985333333333333,2,0.13985333333333333,0.020394646243154204,"{'fraction': 0.13985333333333333, 'border_touch_fraction': 0.020394646243154204, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.169140100479126, 'saturated': 0.0}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.09983051027001832, 'fragment_fraction': 0.0, 'median_planarity': 0.005489808457724986, 'worst_planarity': 0.01587720793705075}}",1,0.13985333333333333,4.0,6.0,15,0.0,0.01587720793705075
s1_z10560_y2880_x2560,True,True,"[300, 300, 300]",,uint8,LZW,1227331,,"[300, 300, 300]",,uint8,LZW,30820306,,"[300, 300, 300]",uint8,"[0, 1]",0.8500812962962963,0.1499187037037037,2,0.1499187037037037,0.02076878703396038,"{'fraction': 0.1499187037037037, 'border_touch_fraction': 0.02076878703396038, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.673340082168579, 'saturated': 0.0}, 'components': {'n_components': 17, 'n_components_ge_min_size': 16, 'largest_component_fraction': 0.12437358024904856, 'fragment_fraction': 1.5069895906546882e-05, 'median_planarity': 0.003363661636738695, 'worst_planarity': 0.007522713503481826}}",1,0.1499187037037037,4.0,6.0,17,1.5069895906546882e-05,0.007522713503481826
s1_z10560_y2880_x2880,True,True,"[300, 300, 300]",,uint8,LZW,640661,,"[300, 300, 300]",,uint8,LZW,28340643,,"[300, 300, 300]",uint8,"[0, 1]",0.860347962962963,0.13965203703703705,2,0.13965203703703705,0.019793110124237356,"{'fraction': 0.13965203703703705, 'border_touch_fraction': 0.019793110124237356, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.190999984741211, 'saturated': 0.0}, 'components': {'n_components': 16, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.10145904967505215, 'fragment_fraction': 1.0077958311729815e-05, 'median_planarity': 0.005276651404486833, 'worst_planarity': 0.00982218368789708}}",1,0.13965203703703705,4.0,6.0,16,1.0077958311729815e-05,0.00982218368789708
s1_z10560_y2880_x3200,True,True,"[300, 300, 300]",,uint8,LZW,1048995,,"[300, 300, 300]",,uint8,LZW,29631262,,"[300, 300, 300]",uint8,"[0, 1]",0.8340924814814815,0.1659075185185185,2,0.1659075185185185,0.019793490483207624,"{'fraction': 0.1659075185185185, 'border_touch_fraction': 0.019793490483207624, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.5899300575256348, 'saturated': 0.0}, 'components': {'n_components': 19, 'n_components_ge_min_size': 19, 'largest_component_fraction': 0.0996068090589514, 'fragment_fraction': 0.0, 'median_planarity': 0.0033282191745667407, 'worst_planarity': 0.007092768487655694}}",1,0.1659075185185185,4.0,6.0,19,0.0,0.007092768487655694
s1_z10560_y2880_x3520,True,True,"[300, 300, 300]",,uint8,LZW,1363550,,"[300, 300, 300]",,uint8,LZW,30491295,,"[300, 300, 300]",uint8,"[0, 1]",0.8072793333333333,0.19272066666666668,2,0.19272066666666668,0.019371733182049322,"{'fraction': 0.19272066666666668, 'border_touch_fraction': 0.019371733182049322, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.8968698978424072, 'saturated': 0.0}, 'components': {'n_components': 21, 'n_components_ge_min_size': 21, 'largest_component_fraction': 0.09271200036591051, 'fragment_fraction': 0.0, 'median_planarity': 0.002136833153340889, 'worst_planarity': 0.010036028904685027}}",1,0.19272066666666668,4.0,6.0,21,0.0,0.010036028904685027
s1_z10560_y3200_x3520,True,True,"[300, 300, 300]",,uint8,LZW,1398474,,"[300, 300, 300]",,uint8,LZW,30675001,,"[300, 300, 300]",uint8,"[0, 1]",0.821845925925926,0.17815407407407408,2,0.17815407407407408,0.01941369933640461,"{'fraction': 0.17815407407407408, 'border_touch_fraction': 0.01941369933640461, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 10.0, 'mean': 3.617219924926758, 'saturated': 0.0}, 'components': {'n_components': 21, 'n_components_ge_min_size': 20, 'largest_component_fraction': 0.09530722470770203, 'fragment_fraction': 4.5736524356778155e-06, 'median_planarity': 0.004041030825172954, 'worst_planarity': 0.008476916782094564}}",1,0.17815407407407408,4.0,6.0,21,4.5736524356778155e-06,0.008476916782094564
s1_z10560_y3200_x3840,True,True,"[300, 300, 300]",,uint8,LZW,1240428,,"[300, 300, 300]",,uint8,LZW,29683833,,"[300, 300, 300]",uint8,"[0, 1]",0.8553925925925926,0.1446074074074074,2,0.1446074074074074,0.01962657514598914,"{'fraction': 0.1446074074074074, 'border_touch_fraction': 0.01962657514598914, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.63700008392334, 'saturated': 0.0}, 'components': {'n_components': 17, 'n_components_ge_min_size': 17, 'largest_component_fraction': 0.12023358262473108, 'fragment_fraction': 0.0, 'median_planarity': 0.005419110534164918, 'worst_planarity': 0.008628164908302384}}",1,0.1446074074074074,4.0,6.0,17,0.0,0.008628164908302384
s1_z10560_y3520_x3520,True,True,"[300, 300, 300]",,uint8,LZW,1280210,,"[300, 300, 300]",,uint8,LZW,29472696,,"[300, 300, 300]",uint8,"[0, 1]",0.865634037037037,0.13436596296296296,2,0.13436596296296296,0.02088602134414001,"{'fraction': 0.13436596296296296, 'border_touch_fraction': 0.02088602134414001, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.197999954223633, 'saturated': 0.0}, 'components': {'n_components': 17, 'n_components_ge_min_size': 14, 'largest_component_fraction': 0.10830702550607366, 'fragment_fraction': 2.8942514928135736e-05, 'median_planarity': 0.00480911214942699, 'worst_planarity': 0.009549676054716112}}",1,0.13436596296296296,4.0,6.0,17,2.8942514928135736e-05,0.009549676054716112
s1_z10560_y3520_x3840,True,True,"[300, 300, 300]",,uint8,LZW,1403578,,"[300, 300, 300]",,uint8,LZW,29881298,,"[300, 300, 300]",uint8,"[0, 1]",0.837295,0.162705,2,0.162705,0.017761069511169385,"{'fraction': 0.162705, 'border_touch_fraction': 0.017761069511169385, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.216789960861206, 'saturated': 0.0}, 'components': {'n_components': 14, 'n_components_ge_min_size': 14, 'largest_component_fraction': 0.08996969065805303, 'fragment_fraction': 0.0, 'median_planarity': 0.003757404297247439, 'worst_planarity': 0.009261861223088025}}",1,0.162705,4.0,6.0,14,0.0,0.009261861223088025
s1_z10560_y3840_x3520,True,True,"[300, 300, 300]",,uint8,LZW,1295953,,"[300, 300, 300]",,uint8,LZW,30221419,,"[300, 300, 300]",uint8,"[0, 1]",0.8640228148148148,0.13597718518518517,2,0.13597718518518517,0.020500988183202846,"{'fraction': 0.13597718518518517, 'border_touch_fraction': 0.020500988183202846, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.1847400665283203, 'saturated': 0.0}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.10604692944132241, 'fragment_fraction': 0.0, 'median_planarity': 0.00510967298481835, 'worst_planarity': 0.008021356382970985}}",1,0.13597718518518517,4.0,6.0,15,0.0,0.008021356382970985
s1_z10560_y3840_x3840,True,True,"[300, 300, 300]",,uint8,LZW,1459663,,"[300, 300, 300]",,uint8,LZW,30354563,,"[300, 300, 300]",uint8,"[0, 1]",0.8337285555555556,0.16627144444444444,2,0.16627144444444444,0.020055112913310653,"{'fraction': 0.16627144444444444, 'border_touch_fraction': 0.020055112913310653, 'thickness': {'median': 4.0, 'p95': 4.0, 'max': 8.0, 'mean': 3.1013998985290527, 'saturated': 0.0}, 'components': {'n_components': 16, 'n_components_ge_min_size': 16, 'largest_component_fraction': 0.08537556503432918, 'fragment_fraction': 0.0, 'median_planarity': 0.005625504351956117, 'worst_planarity': 0.01419888926259956}}",1,0.16627144444444444,4.0,4.0,16,0.0,0.01419888926259956
s1_z10560_y4160_x3520,True,True,"[300, 300, 300]",,uint8,LZW,1256151,,"[300, 300, 300]",,uint8,LZW,30169551,,"[300, 300, 300]",uint8,"[0, 1]",0.854967925925926,0.14503207407407406,2,0.14503207407407406,0.020276740828210158,"{'fraction': 0.14503207407407406, 'border_touch_fraction': 0.020276740828210158, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.609380006790161, 'saturated': 0.0}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.1232394060470915, 'fragment_fraction': 0.0, 'median_planarity': 0.006104423440065429, 'worst_planarity': 0.0186952920133749}}",1,0.14503207407407406,4.0,6.0,15,0.0,0.0186952920133749
s1_z10560_y4480_x2880,True,True,"[300, 300, 300]",,uint8,LZW,949550,,"[300, 300, 300]",,uint8,LZW,29279365,,"[300, 300, 300]",uint8,"[0, 1]",0.862178,0.137822,2,0.137822,0.021686318961064648,"{'fraction': 0.137822, 'border_touch_fraction': 0.021686318961064648, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.59906005859375, 'saturated': 0.0}, 'components': {'n_components': 18, 'n_components_ge_min_size': 17, 'largest_component_fraction': 0.12164643928803497, 'fragment_fraction': 5.643349957029921e-06, 'median_planarity': 0.007797394191913059, 'worst_planarity': 0.01997024871152852}}",1,0.137822,4.0,6.0,18,5.643349957029921e-06,0.01997024871152852
s1_z10560_y4480_x3200,True,True,"[300, 300, 300]",,uint8,LZW,788794,,"[300, 300, 300]",,uint8,LZW,27346930,,"[300, 300, 300]",uint8,"[0, 1]",0.8796028518518518,0.12039714814814814,2,0.12039714814814814,0.019361538956102996,"{'fraction': 0.12039714814814814, 'border_touch_fraction': 0.019361538956102996, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.507539987564087, 'saturated': 0.0}, 'components': {'n_components': 13, 'n_components_ge_min_size': 13, 'largest_component_fraction': 0.13658069297199424, 'fragment_fraction': 0.0, 'median_planarity': 0.012052984897559972, 'worst_planarity': 0.04254616697872474}}",1,0.12039714814814814,4.0,6.0,13,0.0,0.04254616697872474
s1_z10560_y4480_x3520,True,True,"[300, 300, 300]",,uint8,LZW,1257820,,"[300, 300, 300]",,uint8,LZW,29597647,,"[300, 300, 300]",uint8,"[0, 1]",0.8393474814814815,0.16065251851851853,2,0.16065251851851853,0.019372844727221252,"{'fraction': 0.16065251851851853, 'border_touch_fraction': 0.019372844727221252, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 10.0, 'mean': 3.766010046005249, 'saturated': 0.0}, 'components': {'n_components': 18, 'n_components_ge_min_size': 18, 'largest_component_fraction': 0.11733536701479937, 'fragment_fraction': 0.0, 'median_planarity': 0.010643421077140199, 'worst_planarity': 0.018906602843447154}}",1,0.16065251851851853,4.0,6.0,18,0.0,0.018906602843447154
