[09:30:33] [1/258] sv ok   20250108000000-w025_2025010863
[10:53:41] [97/258] sv ok   20250902171204--1_b2
[10:55:19] [98/258] sv ok   20250904233748-0_b2
[10:56:20] [99/258] sv ok   20250905172054-1_b2
[10:58:22] [100/258] sv ok   20250609204953-z_dbg_gen_00612
[11:00:16] [101/258] sv ok   20250611132918-z_dbg_gen_00302_inp_hr
[11:02:15] [102/258] sv ok   20250611133823-z_dbg_gen_00130_inp_hr
[11:04:12] [103/258] sv ok   20250611134135-z_dbg_gen_00331_inp_hr
[11:05:42] [104/258] sv ok   20250611153340-z_dbg_gen_00275
[11:07:22] [105/258] sv ok   20250611153346-z_dbg_gen_00286_inp_hr
[11:08:54] [106/258] sv ok   20250611153347-z_dbg_gen_00105_inp_hr
[11:10:58] [107/258] sv ok   20250611154256-z_dbg_gen_00354_inp_hr
[11:13:05] [108/258] sv ok   20250611161023-z_dbg_gen_00205_inp_hr
[11:15:15] [109/258] sv ok   20250611161415-z_dbg_gen_00411_inp_hr
[11:17:18] [110/258] sv ok   20250611170257-z_dbg_gen_00308_inp_hr
[11:18:45] [111/258] sv ok   20250611171318-z_dbg_gen_00440_inp_hr
[11:20:39] [112/258] sv ok   20250611171745-z_dbg_gen_00225_inp_hr
[11:22:44] [113/258] sv ok   20250611172135-z_dbg_gen_00346_inp_hr
[11:24:54] [114/258] sv ok   20250611173014-z_dbg_gen_00506_inp_hr
[11:27:36] [115/258] sv ok   20250628074500-500P2_front
[11:28:39] [116/258] sv ok   20250716055227-z_dbg_gen_00260_inp_hr
[11:29:45] [117/258] sv ok   20250716055228-z_dbg_gen_00333_inp_hr
[11:31:45] [118/258] sv ok   20250716055229-z_dbg_gen_00371_inp_hr
[11:33:51] [119/258] sv ok   20250716055230-z_dbg_gen_00377_inp_hr
[11:35:48] [120/258] SV FAILED 20250716055231-z_dbg_gen_00473_inp_hr: http.client.RemoteDisconnected: Remote end closed connection without response
[11:37:55] [121/258] sv ok   20250716055232-z_dbg_gen_00505_inp_hr
[11:39:35] [122/258] sv ok   20250716055233-z_dbg_gen_00565_inp_hr
[11:41:07] [123/258] sv ok   20250716055234-z_dbg_gen_00709_inp_hr
[11:43:09] [124/258] sv ok   20250716055235-z_dbg_gen_00779_inp_hr
[11:44:02] [125/258] sv ok   20250716055236-z_dbg_gen_00356_inp_hr
[11:44:02] [125/258] no ink render     20250716055236-z_dbg_gen_00356_inp_hr
[11:44:18] [126/258] sv ok   20250919184428-0500P2-wrap01_0919
[11:44:39] [127/258] sv ok   20250919184429-0500P2-wrap02_0919
[11:45:02] [128/258] sv ok   20250919184430-0500P2-wrap03_0919
[11:45:34] [129/258] sv ok   20250919184431-0500P2-wrap04_0919
[11:48:14] [130/258] sv ok   20250919184432-0500P2-wrap05_0919
[11:48:45] [131/258] sv ok   20250919184433-0500P2-wrap06_0919
[11:49:16] [132/258] sv ok   20250919184434-0500P2-wrap07_0919
[11:49:47] [133/258] sv ok   20250919184435-0500P2-wrap08_0919
[11:50:15] [134/258] sv ok   20250919184436-0500P2-wrap09_0919
[11:50:44] [135/258] sv ok   20250920020222-0500P2-wrap10_0919
[11:51:12] [136/258] sv ok   20250920020223-0500P2-wrap12_0919
[11:51:41] [137/258] sv ok   20250920020224-0500P2-wrap13_0919
[11:52:08] [138/258] sv ok   20250922024644-0500P2-wrap11_0919
[11:52:38] [139/258] sv ok   20250925161630-auto_grown_20250925161630635
[11:53:13] [140/258] sv ok   20250925182632-auto_grown_20250925182632715
[11:53:42] [141/258] sv ok   20250925204843-auto_grown_20250925204843950
[11:54:18] [142/258] sv ok   20250925212701-auto_grown_20250925212701145
[11:54:49] [143/258] sv ok   20250925222237-auto_grown_20250925222237459
[11:55:17] [144/258] sv ok   20250926051122-auto_grown_20250926051122829
[11:55:51] [145/258] sv ok   20250926165636-auto_trace_20250926165636789
[11:56:26] [146/258] sv ok   20250926203608-auto_grown_20250926203608932
[11:56:58] [147/258] sv ok   20250928235953-auto_grown_20250928235953722
[11:57:32] [148/258] sv ok   20250928235954-auto_grown_20250928235953722_copy
[11:58:02] [149/258] sv ok   20250929040153-auto_grown_20250929040153260
[11:58:30] [150/258] SV FAILED 20250930083742-auto_grown_20250930083742882: urllib.error.URLError: <urlopen error [Errno 104] Connection reset by peer>
[11:59:02] [151/258] sv ok   20251001060526-auto_grown_20251001060526760
[11:59:26] [152/258] sv ok   20260225160055-auto_grown_20260225160055913
[11:59:55] [153/258] sv ok   20260226000000-46527_2um_try2
[12:00:28] [154/258] sv ok   20260226110425-auto_grown_20260226110425097_abf
[12:00:53] [155/258] sv ok   20260226113324-auto_grown_20260226113324624_abf
[12:01:20] [156/258] sv ok   20260226121302-auto_grown_20260226121302716_abf
[12:01:47] [157/258] sv ok   20260226123353-auto_grown_20260226123353106
[12:01:49] [158/258] sv ok   20240304141531-w013_20240304141531_flatboi
[12:02:25] [159/258] sv ok   20240304144031-w018_20240304144031_flatboi
[12:02:55] [160/258] sv ok   20240304161941-w023_20240304161941_flatboi
[12:03:27] [161/258] sv ok   20251206103305-w012_20251206103305555_flatboi
[12:03:58] [162/258] sv ok   20251208130119-w028_20251208130119156_flatboi
[12:04:31] [163/258] sv ok   20251212185248-w029_20251212185248662_flatboi
[12:05:05] [164/258] sv ok   20251220020000-w030_2025122002_flatboi
[12:05:38] [165/258] sv ok   20251223230000-w031_2025122323_flatboi
[12:06:10] [166/258] sv ok   20260105050000-w032_2026010505_flatboi
[12:06:40] [167/258] sv ok   20260108140509-w011_20260108140509268_flatboi
[12:07:16] [168/258] sv ok   20260110010000-w033_2026011001_flatboi
[12:07:44] [169/258] sv ok   20260115160000-w034_2026011516_flatboi
[12:08:17] [170/258] sv ok   20260116230000-w035_2026011623_flatboi
[12:08:56] [171/258] sv ok   20260119120000-w036_2026011912_flatboi
[12:09:28] [172/258] sv ok   20260123230000-w037_2026012323_flatboi
[12:10:04] [173/258] sv ok   20260128140000-w038_2026012814_flatboi
[12:10:40] [174/258] sv ok   20260130150000-w039_2026013015_flatboi
[12:11:10] [175/258] sv ok   20260203210000-w040_2026020321_flatboi
[12:11:40] [176/258] sv ok   20260205070000-w041_2026020507_flatboi
[12:11:42] [177/258] no surface-volume  20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4
[12:11:42] [177/258] no ink render     20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4
[12:12:14] [178/258] sv ok   20230702185753
[12:12:49] [179/258] sv ok   20230929220926
[12:13:22] [180/258] sv ok   20231005123336
[12:13:57] [181/258] sv ok   20231007101619
[12:14:32] [182/258] sv ok   20231012184424
[12:15:05] [183/258] sv ok   20231016151002
[12:15:41] [184/258] sv ok   20231022170901
[12:16:18] [185/258] sv ok   20231031143852
[12:16:49] [186/258] sv ok   20231106155351
[12:17:21] [187/258] sv ok   20231210121321
[12:17:57] [188/258] sv ok   20231221180251
[12:18:25] [189/258] sv ok   20260602204401-5753_-7
[12:18:53] [190/258] sv ok   20260602225659-5753_0
[12:19:26] [191/258] sv ok   20260602230115-20230702185753_v14
[12:19:57] [192/258] sv ok   20260603005223-5753_-1
[12:20:24] [193/258] sv ok   20260603024952-5753_-2
[12:20:53] [194/258] sv ok   20260603042357-5753_-3
[12:21:22] [195/258] sv ok   20260603145540-5753_-4
[12:21:51] [196/258] sv ok   20260603185441-5753_-6
[12:22:22] [197/258] sv ok   20260603190005-5753_-5
[12:22:49] [198/258] sv ok   20260603193311-5753_-1_copy
[12:23:24] [199/258] sv ok   20260603222816-20231005123336_v2_flatboi
[12:24:00] [200/258] sv ok   20260604223808-20231210121321_v8
[12:24:35] [201/258] sv ok   20260623141135-w046-052_jordi
[12:25:14] [202/258] sv ok   20260623141649-w053-058_jordi
[12:25:54] [203/258] sv ok   20260623141924-w010-027
[12:26:31] [204/258] sv ok   20260623142658-w028-037
[12:27:14] [205/258] sv ok   20260623143441-w038-045
[12:27:47] [206/258] sv ok   20260623144224-w046-052
[12:28:25] [207/258] sv ok   20260623144957-w053-058
[12:29:04] [208/258] sv ok   20260623145652-w059-063
[12:29:52] [209/258] sv ok   20260623150417-w064-068
[12:30:29] [210/258] sv ok   20260623151041-w069-072
[12:31:04] [211/258] sv ok   20260623151729-w073-076
[12:31:40] [212/258] sv ok   20260623152443-w077-080
[12:32:16] [213/258] sv ok   20260623153216-w081-084
[12:32:52] [214/258] sv ok   20260623154006-w085-088
[12:33:27] [215/258] sv ok   20260623154617-w089-091
[12:34:03] [216/258] sv ok   20260623155240-w092-094
[12:34:43] [217/258] sv ok   20260623155914-w095-097
[12:35:24] [218/258] sv ok   20260623160554-w098-100
[12:36:13] [219/258] sv ok   20260623161233-w101-103
[12:36:33] [220/258] sv ok   20260623161921-w104-106
[12:36:33] [220/258] no ink render     20260623161921-w104-106
[12:37:08] [221/258] sv ok   20260623162614-w107-109
[12:37:44] [222/258] sv ok   20260623163339-w110-112
[12:38:20] [223/258] sv ok   20260623164141-w113-115
[12:38:59] [224/258] sv ok   20260623164704-w116-117
[12:39:38] [225/258] sv ok   20260623165230-w118-119
[12:40:15] [226/258] sv ok   20260623165742-w120-121
[12:40:50] [227/258] sv ok   20260623170305-w122-123
[12:41:24] [228/258] sv ok   20260623170833-w124-125
[12:42:00] [229/258] sv ok   20260623171400-w126-127
[12:42:38] [230/258] sv ok   20260623171929-w128-129
[12:43:17] [231/258] sv ok   20260701183124-w010-027
[12:43:55] [232/258] sv ok   20260701183125-w028-037
[12:44:34] [233/258] sv ok   20260701183126-w038-045
[12:45:13] [234/258] sv ok   20260701183127-w046-052
[12:45:50] [235/258] sv ok   20260701183128-w053-058
[12:46:25] [236/258] sv ok   20260701183129-w059-063
[12:47:07] [237/258] sv ok   20260701183130-w064-068
[12:47:42] [238/258] sv ok   20260701183131-w069-072
[12:48:21] [239/258] sv ok   20260701183132-w073-076
[12:49:00] [240/258] sv ok   20260701183133-w077-080
[12:49:32] [241/258] sv ok   20260701183134-w081-084
[12:50:24] [242/258] sv ok   20260701183135-w085-088
[12:51:18] [243/258] sv ok   20260701183136-w089-091
[12:51:57] [244/258] sv ok   20260701183137-w092-094
[12:52:36] [245/258] sv ok   20260701183138-w095-097
[12:53:13] [246/258] sv ok   20260701183139-w098-100
[12:53:46] [247/258] sv ok   20260701183140-w101-103
[12:54:23] [248/258] sv ok   20260701183141-w104-106
[12:55:00] [249/258] sv ok   20260701183142-w107-109
[12:55:36] [250/258] sv ok   20260701183143-w110-112
[12:56:24] [251/258] sv ok   20260701183144-w113-115
[12:56:59] [252/258] sv ok   20260701183145-w116-117
[12:57:34] [253/258] sv ok   20260701183146-w118-119
[12:58:10] [254/258] sv ok   20260701183147-w120-121
[12:58:43] [255/258] sv ok   20260701183148-w122-123
[12:59:16] [256/258] sv ok   20260701183149-w124-125
[12:59:49] [257/258] sv ok   20260701183150-w126-127
[13:00:26] [258/258] sv ok   20260701183151-w128-129
[13:00:28] W3 CORPUS DONE  sv=255 thumbs=255
