name,has_image,has_label,label_shape,label_plane_shape,label_dtype,label_compression,label_bytes,label_header_error,image_shape,image_plane_shape,image_dtype,image_compression,image_bytes,image_header_error,shape,dtype,values,value_fractions_0,value_fractions_1,value_fractions_2,n_values,foreground_fraction,border_touch_fraction,per_class_1,per_class_2,surface_class,surface_fraction,surface_thickness_median,surface_thickness_p95,surface_components,surface_fragment_fraction,surface_worst_planarity,surface_junction_fraction
sample_00047,True,True,"[320, 320, 320]",,uint8,LZW,1039001,,"[320, 320, 320]",,uint8,LZW,28585157,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.3999232482910156,0.030486236572265624,0.5695905151367188,3,0.6000767517089843,0.03124600302644798,"{'fraction': 0.030486236572265624, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.664220094680786, 'saturated': 0.0}, 'components': {'n_components': 7, 'n_components_ge_min_size': 7, 'largest_component_fraction': 0.29822727941596017, 'fragment_fraction': 0.0, 'median_planarity': 0.0015775146153866103, 'worst_planarity': 0.007691274700070485}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00225, 'junctions': 9, 'radius': 5}}","{'fraction': 0.5695905151367188, 'border_touch_fraction': 0.03291838522890333, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.646130084991455, 'saturated': 0.8979379503440303}, 'skipped': 'thickness saturated for 90% of voxels: a region, not a sheet'}",1,0.030486236572265624,2.0,4.0,7,0.0,0.007691274700070485,0.00225
sample_00063,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,30689133,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.6319053344726563,0.0837396240234375,0.2843550415039062,3,0.36809466552734377,0.05093798350252692,"{'fraction': 0.0837396240234375, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.672420024871826, 'saturated': 0.0}, 'components': {'n_components': 12, 'n_components_ge_min_size': 12, 'largest_component_fraction': 0.11085029774269492, 'fragment_fraction': 0.0, 'median_planarity': 0.0021443317053684557, 'worst_planarity': 0.01011720036309281}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0025, 'junctions': 10, 'radius': 5}}","{'fraction': 0.2843550415039062, 'border_touch_fraction': 0.0659386937570524, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.115039825439453, 'saturated': 0.7554756268307807}, 'skipped': 'thickness saturated for 76% of voxels: a region, not a sheet'}",1,0.0837396240234375,2.0,4.0,12,0.0,0.01011720036309281,0.0025
sample_00064,True,True,"[320, 320, 320]",,uint8,LZW,1155545,,"[320, 320, 320]",,uint8,LZW,29306374,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.8596326904296875,0.0851654052734375,0.055201904296875,3,0.1403673095703125,0.13357811058284758,"{'fraction': 0.0851654052734375, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.702500104904175, 'saturated': 0.0}, 'components': {'n_components': 13, 'n_components_ge_min_size': 13, 'largest_component_fraction': 0.11230838140968216, 'fragment_fraction': 0.0, 'median_planarity': 0.0036891965062838287, 'worst_planarity': 0.023370257598001033}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0025, 'junctions': 10, 'radius': 5}}","{'fraction': 0.055201904296875, 'border_touch_fraction': 0.3396621953322984, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 14.0, 'mean': 4.07459020614624, 'saturated': 0.0}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.33223717243291884, 'worst_planarity': 0.33223717243291884}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.0851654052734375,2.0,4.0,13,0.0,0.023370257598001033,0.0025
sample_00065,True,True,"[320, 320, 320]",,uint8,LZW,785177,,"[320, 320, 320]",,uint8,LZW,31706217,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.30412152099609374,0.02846868896484375,0.6674097900390625,3,0.6958784790039062,0.02694435963422681,"{'fraction': 0.02846868896484375, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.744149923324585, 'saturated': 0.0}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.3179837961027462, 'fragment_fraction': 0.0, 'median_planarity': 0.006463614389233271, 'worst_planarity': 0.025301775743242886}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0035, 'junctions': 14, 'radius': 5}}","{'fraction': 0.6674097900390625, 'border_touch_fraction': 0.028093684389769873, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.836790084838867, 'saturated': 0.9535595941852658}, 'skipped': 'thickness saturated for 95% of voxels: a region, not a sheet'}",1,0.02846868896484375,2.0,4.0,5,0.0,0.025301775743242886,0.0035
sample_00071,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,34200134,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.3434678955078125,0.0562933349609375,0.60023876953125,3,0.6565321044921875,0.028559151748569392,"{'fraction': 0.0562933349609375, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.704010009765625, 'saturated': 0.0}, 'components': {'n_components': 6, 'n_components_ge_min_size': 6, 'largest_component_fraction': 0.16947609805813663, 'fragment_fraction': 0.0, 'median_planarity': 0.0066823784388551875, 'worst_planarity': 0.01880539587374588}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.003, 'junctions': 12, 'radius': 5}}","{'fraction': 0.60023876953125, 'border_touch_fraction': 0.031237569033807346, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.772160053253174, 'saturated': 0.933201834556398}, 'skipped': 'thickness saturated for 93% of voxels: a region, not a sheet'}",1,0.0562933349609375,2.0,4.0,6,0.0,0.01880539587374588,0.003
sample_00072,True,True,"[320, 320, 320]",,uint8,LZW,948057,,"[320, 320, 320]",,uint8,LZW,27096918,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.6362862243652344,0.033438995361328126,0.3302747802734375,3,0.36371377563476565,0.05155152555681143,"{'fraction': 0.033438995361328126, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.726490020751953, 'saturated': 0.0}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.3584134398195174, 'fragment_fraction': 0.0, 'median_planarity': 0.02250317923629095, 'worst_planarity': 0.048935496929964045}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0015, 'junctions': 6, 'radius': 5}}","{'fraction': 0.3302747802734375, 'border_touch_fraction': 0.056770910526309955, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.510240077972412, 'saturated': 0.8652716521332889}, 'skipped': 'thickness saturated for 87% of voxels: a region, not a sheet'}",1,0.033438995361328126,2.0,4.0,5,0.0,0.048935496929964045,0.0015
sample_00076,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,30008495,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.5344482421875,0.0495966796875,0.415955078125,3,0.4655517578125,0.04027479154648907,"{'fraction': 0.0495966796875, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 10.0, 'mean': 2.7587599754333496, 'saturated': 0.0}, 'components': {'n_components': 9, 'n_components_ge_min_size': 9, 'largest_component_fraction': 0.19925066946265776, 'fragment_fraction': 0.0, 'median_planarity': 0.013231141845794797, 'worst_planarity': 0.018387634442104023}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00425, 'junctions': 17, 'radius': 5}}","{'fraction': 0.415955078125, 'border_touch_fraction': 0.04507698303508961, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.629960060119629, 'saturated': 0.8986265313261554}, 'skipped': 'thickness saturated for 90% of voxels: a region, not a sheet'}",1,0.0495966796875,2.0,4.0,9,0.0,0.018387634442104023,0.00425
sample_00083,True,True,"[320, 320, 320]",,uint8,LZW,894345,,"[320, 320, 320]",,uint8,LZW,30276609,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.4855695495605469,0.09243695068359375,0.42199349975585937,3,0.5144304504394531,0.03644807569999556,"{'fraction': 0.09243695068359375, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.6583900451660156, 'saturated': 0.0}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.09916559204535925, 'fragment_fraction': 0.0, 'median_planarity': 0.003255698366633947, 'worst_planarity': 0.008000585396335169}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00175, 'junctions': 7, 'radius': 5}}","{'fraction': 0.42199349975585937, 'border_touch_fraction': 0.04443196402515121, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.361289978027344, 'saturated': 0.813908607702278}, 'skipped': 'thickness saturated for 81% of voxels: a region, not a sheet'}",1,0.09243695068359375,2.0,4.0,15,0.0,0.008000585396335169,0.00175
sample_00085,True,True,"[320, 320, 320]",,uint8,LZW,562489,,"[320, 320, 320]",,uint8,LZW,29179090,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.24566275024414064,0.027346893310546874,0.7269903564453125,3,0.7543372497558594,0.024856256278035352,"{'fraction': 0.027346893310546874, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.669420003890991, 'saturated': 0.0}, 'components': {'n_components': 3, 'n_components_ge_min_size': 3, 'largest_component_fraction': 0.3363329885069016, 'fragment_fraction': 0.0, 'median_planarity': 0.001713812553150918, 'worst_planarity': 0.002182275803485798}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0015, 'junctions': 6, 'radius': 5}}","{'fraction': 0.7269903564453125, 'border_touch_fraction': 0.02579126371315279, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.838799953460693, 'saturated': 0.9522815865321245}, 'skipped': 'thickness saturated for 95% of voxels: a region, not a sheet'}",1,0.027346893310546874,2.0,4.0,3,0.0,0.002182275803485798,0.0015
sample_00093,True,True,"[320, 320, 320]",,uint8,LZW,1283657,,"[320, 320, 320]",,uint8,LZW,26939982,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.7723553466796875,0.06605352783203125,0.16159112548828125,3,0.2276446533203125,0.08236521142281077,"{'fraction': 0.06605352783203125, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.705519914627075, 'saturated': 0.0}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.17225086188495695, 'fragment_fraction': 0.0, 'median_planarity': 0.02234805856649739, 'worst_planarity': 0.040904222523271035}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.001, 'junctions': 4, 'radius': 5}}","{'fraction': 0.16159112548828125, 'border_touch_fraction': 0.11603359988577942, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 6.795680046081543, 'saturated': 0.6828097657080675}, 'skipped': 'thickness saturated for 68% of voxels: a region, not a sheet'}",1,0.06605352783203125,2.0,4.0,8,0.0,0.040904222523271035,0.001
sample_00095,True,True,"[320, 320, 320]",,uint8,LZW,746777,,"[320, 320, 320]",,uint8,LZW,33821211,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.1950487060546875,0.02761968994140625,0.7773316040039062,3,0.8049512939453125,0.023293334815452642,"{'fraction': 0.02761968994140625, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.690419912338257, 'saturated': 0.0}, 'components': {'n_components': 3, 'n_components_ge_min_size': 3, 'largest_component_fraction': 0.3371014825831287, 'fragment_fraction': 0.0, 'median_planarity': 0.011236394499458117, 'worst_planarity': 0.012298447937916115}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00175, 'junctions': 7, 'radius': 5}}","{'fraction': 0.7773316040039062, 'border_touch_fraction': 0.0241209799053864, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.865809917449951, 'saturated': 0.958043235757217}, 'skipped': 'thickness saturated for 96% of voxels: a region, not a sheet'}",1,0.02761968994140625,2.0,4.0,3,0.0,0.012298447937916115,0.00175
sample_00097,True,True,"[320, 320, 320]",,uint8,LZW,970521,,"[320, 320, 320]",,uint8,LZW,29377295,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.3596502380371094,0.04236203002929687,0.5979877319335938,3,0.6403497619628906,0.029280872913148043,"{'fraction': 0.04236203002929687, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7225000858306885, 'saturated': 0.0}, 'components': {'n_components': 4, 'n_components_ge_min_size': 4, 'largest_component_fraction': 0.27126060517866263, 'fragment_fraction': 0.0, 'median_planarity': 0.034141206281444236, 'worst_planarity': 0.038867941638091354}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00275, 'junctions': 11, 'radius': 5}}","{'fraction': 0.5979877319335938, 'border_touch_fraction': 0.03135515830629478, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.766679763793945, 'saturated': 0.9311238323597277}, 'skipped': 'thickness saturated for 93% of voxels: a region, not a sheet'}",1,0.04236203002929687,2.0,4.0,4,0.0,0.038867941638091354,0.00275
sample_00099,True,True,"[320, 320, 320]",,uint8,LZW,1244233,,"[320, 320, 320]",,uint8,LZW,36938084,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.19371429443359375,0.051890472412109374,0.7543952331542969,3,0.8062857055664062,0.02325478409272845,"{'fraction': 0.051890472412109374, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.6807899475097656, 'saturated': 0.0}, 'components': {'n_components': 9, 'n_components_ge_min_size': 9, 'largest_component_fraction': 0.18154764880345012, 'fragment_fraction': 0.0, 'median_planarity': 0.005151088676429729, 'worst_planarity': 0.013703738212724572}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00225, 'junctions': 9, 'radius': 5}}","{'fraction': 0.7543952331542969, 'border_touch_fraction': 0.024854345807040712, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.690169811248779, 'saturated': 0.9021401395945303}, 'skipped': 'thickness saturated for 90% of voxels: a region, not a sheet'}",1,0.051890472412109374,2.0,4.0,9,0.0,0.013703738212724572,0.00225
sample_00103,True,True,"[320, 320, 320]",,uint8,LZW,1092121,,"[320, 320, 320]",,uint8,LZW,31626643,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.39754681396484376,0.06130780029296875,0.5411453857421875,3,0.6024531860351563,0.03112275017316589,"{'fraction': 0.06130780029296875, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.713870048522949, 'saturated': 0.0}, 'components': {'n_components': 7, 'n_components_ge_min_size': 7, 'largest_component_fraction': 0.1572560372814637, 'fragment_fraction': 0.0, 'median_planarity': 0.00232932622962358, 'worst_planarity': 0.007334708316190171}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.003, 'junctions': 12, 'radius': 5}}","{'fraction': 0.5411453857421875, 'border_touch_fraction': 0.03464872933229237, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.613420009613037, 'saturated': 0.8823820572818387}, 'skipped': 'thickness saturated for 88% of voxels: a region, not a sheet'}",1,0.06130780029296875,2.0,4.0,7,0.0,0.007334708316190171,0.003
