name,surface_class,orient_class,surface_voxels,surface_fraction,hf_energy,hf_energy_norm,dynamic_range,intensity_p50,n_samples,polarity,oriented,search_radius,noise_sigma,global_peak_offset,global_peak_offset_raw,global_peak_ci95,global_peak_ci95_width,global_offset_reliable,noise_estimate_failed,global_profile_contrast,global_profile_snr,n_cells,n_cells_considered,cell_frac_unresolved,cell_frac_low_snr,cell_size,neighbour_ridge_pos,neighbour_ridge_neg,winding_spacing,dominant_ridge_at,recommended_radius,cell_offset_median,cell_offset_mean,cell_abs_offset_median,cell_abs_offset_p90,cell_frac_ge_1vx,cell_frac_ge_2vx,cell_offset_worst,cell_snr_median,cell_voxels_median,naive_mean_signed_offset,naive_median_abs_offset,naive_frac_offset_ge_1vx,naive_median_prominence_snr,naive_frac_flat_support,overlay_png,drift_png
s1_z10240_y3840_x2560,1,,4873602,0.1805037777777778,12.53389835357666,0.06886757165193558,182.0,130.0,35206,bright,False,11.950000000000001,6.565056800842285,2.4282751083374023,2.4282751083374023,"[2.3542676687240602, 2.501378870010376]",0.14711120128631583,True,False,42.313262939453125,6.445224195779145,84,85,0.011764705882352941,0.0,64,32.0,-21.0,21.0,2.5,11.950000000000001,2.4920520782470703,2.6296345733460926,2.4920520782470703,5.708924865722658,0.7738095238095238,0.6071428571428571,11.24463176727295,142.43279995639102,343.5,0.9562295968236145,2.322422370314598,0.7712509118699413,12.90743350982666,0.05995,,
s1_z10240_y3840_x3840,1,,4508380,0.16697703703703703,10.81640911102295,0.06476891785860062,167.0,124.0,35004,bright,False,12.225,5.737824440002441,2.9304962158203125,2.9304962158203125,"[2.8675657987594603, 3.007114338874817]",0.1395485401153569,True,False,43.50189208984375,7.581600403553867,86,86,0.0,0.0,64,20.5,-21.5,20.5,3.0,12.225,3.018599033355713,3.146750816079073,3.018599033355713,5.4743146896362305,0.8953488372093024,0.7093023255813954,9.323637008666992,160.92075185665067,319.0,1.160451576537567,2.325625330209732,0.7734174582264439,13.649785995483398,0.05965,,
s1_z10240_y4160_x2560,1,,4985164,0.1846357037037037,12.223801612854004,0.06791000813245773,180.0,127.0,35199,bright,False,11.775,6.449516773223877,2.9381704330444336,2.9381704330444336,"[2.8759140253067015, 3.002123284339905]",0.12620925903320357,True,False,39.6658935546875,6.150211705684111,94,94,0.0,0.0,64,25.0,-19.5,19.5,3.0,11.775,2.7425451278686523,3.050914794840711,2.749556064605713,6.563407325744629,0.8936170212765957,0.6914893617021277,-10.848114967346191,135.99418650120845,310.0,-1.055281301247219,2.4097552932798862,0.7816991603813861,12.48287296295166,0.0701,,
s1_z10240_y4160_x2880,1,,3703231,0.1371567037037037,13.373826026916504,0.06823380291461945,196.0,115.0,33156,bright,False,16.0,6.8372979164123535,4.028581619262695,4.028581619262695,"[3.907666873931885, 4.147847366333008]",0.24018049240112305,True,False,53.35375213623047,7.8033388026224975,85,85,0.0,0.0,64,33.5,-29.0,29.0,4.0,16.0,3.824798583984375,4.177397761625402,3.874309539794922,7.443522644042972,0.9411764705882353,0.8235294117647058,13.550163269042969,160.90596273547544,315.0,-0.5405712535651926,2.5212729601189494,0.7934897404948702,13.923808097839355,0.062625,,
s1_z10240_y4160_x3200,1,,3433585,0.12716981481481482,12.932071685791016,0.06915546208620071,187.0,108.0,33072,bright,False,16.0,6.6129655838012695,4.731464385986328,4.731464385986328,"[4.616145515441895, 4.83903660774231]",0.22289109230041504,True,False,56.146202087402344,8.49032122969682,89,89,0.0,0.0,64,,-30.0,30.0,5.0,16.0,5.075326919555664,5.420017671049311,5.075326919555664,9.237387466430667,0.9662921348314607,0.9101123595505618,14.663835525512695,173.81576723762706,311.0,-1.4580536333313052,2.626376084983349,0.8069913002401291,14.895120620727539,0.075375,,
s1_z10240_y4160_x3520,1,,4017110,0.14878185185185186,11.3482084274292,0.06484690308570862,175.0,103.0,34126,bright,False,16.0,5.905681610107422,4.366117477416992,4.366117477416992,"[4.302798652648926, 4.432401323318482]",0.12960267066955566,True,False,54.56687927246094,9.239725890246289,77,77,0.0,0.0,64,27.5,-29.5,27.5,4.5,16.0,4.162265777587891,4.24133925004439,4.162265777587891,6.8029209136962905,0.961038961038961,0.8961038961038961,8.41225814819336,205.40681942021794,349.0,1.5790736494034914,2.661244608461857,0.8129546241773468,16.118480682373047,0.051875,,
s1_z10240_y4160_x3840,1,,4325981,0.1602215185185185,10.809431076049805,0.06434185057878494,168.0,119.0,34603,bright,False,13.625,5.8360915184021,3.4009475708007812,3.4009475708007812,"[3.3335617065429686, 3.4620439052581786]",0.12848219871521005,True,False,45.264305114746094,7.755927913745138,82,82,0.0,0.0,64,,-22.5,22.5,3.5,13.625,3.405466079711914,3.5859817760746653,3.405466079711914,6.7205984115600605,0.926829268292683,0.8048780487804879,8.45186996459961,175.34008506619054,326.5,1.2192445682244302,2.4483584985136986,0.7864925293679242,13.579707145690918,0.0654,,
s1_z10240_y4480_x2880,1,,3958149,0.14659811111111112,14.01374340057373,0.06579222530126572,213.0,104.0,33552,bright,False,14.75,6.941085338592529,3.5547943115234375,3.5547943115234375,"[3.4894190788269044, 3.618624210357666]",0.12920513153076163,True,False,67.34748840332031,9.70273165046212,86,86,0.0,0.0,64,29.0,-25.0,25.0,3.5,14.75,3.3339805603027344,3.448850897855537,3.3339805603027344,5.831843376159668,0.9302325581395349,0.7790697674418605,10.457094192504883,199.1743227217288,308.5,1.3990549803676477,2.4536640271544456,0.787111458851981,16.7940616607666,0.04945,,
s1_z10240_y4480_x3200,1,,3125716,0.11576725925925926,12.498366355895996,0.06126650050282478,204.0,97.0,32794,bright,False,16.0,6.195056915283203,3.8652286529541016,3.8652286529541016,"[3.8045154094696043, 3.938918399810791]",0.13440299034118652,True,False,78.24482727050781,12.630203134611701,80,80,0.0,0.0,64,,-38.5,38.5,4.0,16.0,3.9316577911376953,4.438777661323547,3.9316577911376953,7.832069015502932,0.975,0.875,11.002769470214844,263.6407492715706,322.0,1.6902568323311207,2.5349893867969513,0.7958730386186144,19.839351654052734,0.03765,,
s1_z10240_y4480_x3520,1,,3349751,0.12406485185185186,11.024304389953613,0.06124613434076309,180.0,100.0,32895,bright,False,16.0,5.790484428405762,3.6460342407226562,3.6460342407226562,"[3.577504587173462, 3.730407190322876]",0.15290260314941406,True,False,69.99630737304688,12.088160885067484,80,80,0.0,0.0,64,,-33.0,33.0,4.0,16.0,3.5104732513427734,3.399344742298126,3.5104732513427734,5.610631370544436,0.95,0.8125,8.442407608032227,246.68673398256865,332.5,1.4720532112422808,2.4550541881471872,0.7899399828522435,18.051149368286133,0.039325,,
s1_z10560_y2560_x2560,1,,3613198,0.13382214814814813,12.510986328125,0.06516138464212418,192.0,102.0,33427,bright,False,16.0,6.707047939300537,5.738119125366211,5.738119125366211,"[5.654385328292847, 5.832159376144409]",0.17777404785156214,True,False,57.154319763183594,8.521531421936443,84,84,0.0,0.0,64,26.0,-25.5,25.5,6.0,16.0,5.5897111892700195,5.47959778422401,5.662038803100586,8.98338565826416,0.9880952380952381,0.9404761904761905,12.110193252563477,178.47603038029794,301.5,1.4833714516720768,2.8034229557961226,0.8249979503156514,14.742176055908203,0.075475,,
s1_z10560_y2560_x2880,1,,3776040,0.13985333333333333,12.407114028930664,0.06462038308382034,192.0,103.0,34891,bright,False,13.9,6.705283164978027,3.5415611267089844,3.5415611267089844,"[3.4935395240783693, 3.587318468093872]",0.09377894401550257,True,False,72.17333221435547,10.763651651778076,86,86,0.0,0.0,64,24.0,-22.0,22.0,4.0,13.9,3.656073570251465,3.673151371090911,3.656073570251465,6.122149467468262,0.9534883720930233,0.8023255813953488,7.726230621337891,211.2608515646673,313.5,1.7268484629046839,2.5024806959554553,0.7971965198177048,16.567920684814453,0.034725,,
s1_z10560_y2880_x2560,1,,4047805,0.1499187037037037,13.279321670532227,0.06775163859128952,196.0,105.0,33026,bright,False,16.0,7.090601444244385,4.519443511962891,4.519443511962891,"[4.4443518161773685, 4.60209379196167]",0.15774197578430105,True,False,62.69061279296875,8.841367447588844,89,90,0.011111111111111112,0.0,64,29.5,-26.5,26.5,4.5,16.0,4.401948928833008,4.456683919670876,4.401948928833008,6.675931167602539,0.9887640449438202,0.8876404494382022,10.263753890991211,179.81655458298135,310.0,1.499524699268681,2.6464258953928947,0.8083323812787997,14.482475280761719,0.05955,,
s1_z10560_y2880_x2880,1,,3770605,0.13965203703703705,13.442808151245117,0.06858575344085693,196.0,110.0,34427,bright,False,16.0,7.095337867736816,4.54261589050293,4.54261589050293,"[4.470862913131714, 4.636548614501953]",0.16568570137023908,True,False,56.958580017089844,8.02760644790236,89,89,0.0,0.0,64,31.5,-27.5,27.5,4.5,16.0,4.446231842041016,4.42472096775355,4.446231842041016,6.914885330200195,0.9550561797752809,0.8876404494382022,8.931756973266602,177.63472065570105,335.0,-1.4302811548898164,2.5609243772923946,0.797226971972344,14.150910377502441,0.06565,,
s1_z10560_y2880_x3200,1,,4479503,0.1659075185185185,13.140083312988281,0.06952425092458725,189.0,124.0,34628,bright,False,13.9,6.806146621704102,3.9466629028320312,3.9466629028320312,"[3.8738518714904786, 4.021051502227783]",0.14719963073730424,True,False,49.159210205078125,7.222766851409645,91,91,0.0,0.0,64,26.0,-22.0,22.0,4.0,13.9,4.031394958496094,4.004254445924864,4.031394958496094,6.469631195068359,0.978021978021978,0.8461538461538461,12.056163787841797,157.67790605879466,308.0,1.3189186473353622,2.5784019827842712,0.8035550332366227,13.503349304199219,0.0682,,
s1_z10560_y2880_x3520,1,,5203458,0.19272066666666668,11.841161727905273,0.06727933138608932,176.0,133.0,34828,bright,False,12.675,6.306778907775879,3.1752939224243164,3.1752939224243164,"[3.097024917602539, 3.28580584526062]",0.18878092765808097,True,False,33.35394287109375,5.288586037156042,86,86,0.0,0.0,64,21.5,-21.5,21.5,3.0,12.675,3.3457322120666504,3.4680229342261026,3.3457322120666504,6.097290992736816,0.9069767441860465,0.7674418604651163,11.8655424118042,129.17593999198203,340.5,0.7541318496568419,2.4901153780519962,0.7956673003120405,11.380416870117188,0.084375,,
s1_z10560_y3200_x3520,1,,4810160,0.17815407407407408,11.419281959533691,0.0656280592083931,174.0,127.0,34220,bright,False,14.9,5.973151206970215,4.426670074462891,4.426670074462891,"[4.3531763553619385, 4.494340991973877]",0.14116463661193812,True,False,45.401756286621094,7.600972202686027,88,88,0.0,0.0,64,32.5,-22.0,22.0,5.0,14.9,4.4646148681640625,4.66920146075162,4.4646148681640625,7.162512397766113,0.9886363636363636,0.9431818181818182,10.233261108398438,161.21362453882057,324.5,1.5293931418918578,2.750435528170783,0.8197413153061623,13.0452299118042,0.075475,,
s1_z10560_y3200_x3840,1,,3904400,0.1446074074074074,10.203354835510254,0.06146599352359772,166.0,112.0,33793,bright,False,16.0,5.4780426025390625,3.3829212188720703,3.3829212188720703,"[3.2909523487091064, 3.4724427700042724]",0.18149042129516602,True,False,41.32298278808594,7.543384706232992,81,81,0.0,0.0,64,28.0,-28.0,28.0,4.0,16.0,3.3173179626464844,3.182293986096794,3.4425582885742188,7.0224761962890625,0.9012345679012346,0.7654320987654321,8.489774703979492,193.04192851616068,341.0,0.9841924633613075,2.4727626210078597,0.7902887329039728,14.175554275512695,0.065025,,
s1_z10560_y3520_x3520,1,,3627881,0.13436596296296296,9.276215553283691,0.061027735471725464,152.0,125.0,33979,bright,False,16.0,4.934634208679199,4.986583709716797,4.986583709716797,"[4.8747728824615475, 5.099018859863281]",0.22424597740173358,True,False,37.927734375,7.686027529313406,90,90,0.0,0.0,64,34.5,-29.5,29.5,5.5,16.0,4.4194183349609375,4.553993691338433,4.446584701538086,8.748883628845217,0.9444444444444444,0.8666666666666667,-13.762595176696777,154.61829091799106,326.0,-1.237204501216779,2.6299713999032974,0.8022122309314447,13.3330078125,0.0714,,
s1_z10560_y3520_x3840,1,,4393035,0.162705,9.809300422668457,0.062479618936777115,157.0,122.0,35530,bright,False,12.5,5.3550543785095215,3.5842666625976562,3.5842666625976562,"[3.507533597946167, 3.6612082958221435]",0.15367469787597665,True,False,31.244979858398438,5.8346708828557015,92,94,0.02127659574468085,0.0,64,32.0,-20.0,20.0,3.5,12.5,3.723520278930664,3.3747615762378858,3.780132293701172,6.162546396255494,0.8804347826086957,0.782608695652174,9.426141738891602,135.77773383447197,339.5,-1.0865197960325135,2.6168206557631493,0.8042274217248785,12.280281066894531,0.068,,
s1_z10560_y3840_x3520,1,,3671384,0.13597718518518517,10.425146102905273,0.06242602318525314,167.0,118.0,33906,bright,False,16.0,5.470933437347412,4.84112548828125,4.84112548828125,"[4.748371410369873, 4.9162986278533936]",0.16792721748352069,True,False,50.744544982910156,9.275299281929064,89,89,0.0,0.0,64,32.0,-28.0,28.0,5.0,16.0,5.100002288818359,5.220775143484051,5.100002288818359,8.271499252319336,0.9775280898876404,0.9325842696629213,11.321813583374023,195.10051883662703,304.0,1.4996037041537946,2.661319762468338,0.8087872038874266,14.615354537963867,0.0664,,
s1_z10560_y3840_x3840,1,,4489329,0.16627144444444444,10.325440406799316,0.0641331672668457,161.0,121.0,34354,bright,False,13.4,5.5289154052734375,3.508657455444336,3.508657455444336,"[3.4448874473571776, 3.561139631271362]",0.11625218391418457,True,False,45.43096160888672,8.216975352083523,90,90,0.0,0.0,64,32.5,-22.0,22.0,3.5,13.4,3.196295738220215,3.2917795181274414,3.228878974914551,6.231789016723634,0.8777777777777778,0.7666666666666667,11.774421691894531,172.08189549684295,310.5,-1.2944108046305414,2.5224327333271503,0.7927420223267166,13.922351837158203,0.05715,,
s1_z10560_y4160_x3520,1,,3915866,0.14503207407407406,11.505531311035156,0.06463781744241714,178.0,106.0,33426,bright,False,16.0,5.915180683135986,5.5204315185546875,5.5204315185546875,"[5.43169322013855, 5.600680875778198]",0.1689876556396479,True,False,56.918968200683594,9.62252401908161,85,85,0.0,0.0,64,33.0,-28.0,28.0,6.0,16.0,5.82557487487793,5.418089395410874,6.132638931274414,7.8370197296142585,0.9882352941176471,0.9411764705882353,11.858400344848633,214.2708907300424,337.0,1.770950109755459,2.761674616485834,0.8220840981144669,15.662062644958496,0.07375,,
s1_z10560_y4480_x2880,1,,3721194,0.137822,14.397650718688965,0.0663486197590828,217.0,100.0,33174,bright,False,16.0,7.3813395500183105,4.282079696655273,4.282079696655273,"[4.199639177322387, 4.351524019241333]",0.15188484191894602,True,False,65.34847259521484,8.85319963299246,84,84,0.0,0.0,64,31.0,-26.0,26.0,4.5,16.0,3.983527183532715,4.312780607314337,3.983527183532715,7.16197624206543,0.9523809523809523,0.8809523809523809,9.126358032226562,188.16537106426296,316.5,1.5019187315265445,2.672959253191948,0.8076564307301967,15.51317310333252,0.0551,,
s1_z10560_y4480_x3200,1,,3250723,0.12039714814814814,12.310968399047852,0.06249222531914711,197.0,98.0,33916,bright,False,16.0,6.394373893737793,5.004961013793945,5.004961013793945,"[4.9279779434204105, 5.0895667552948]",0.16158881187438912,True,False,64.26573944091797,10.050356846329455,86,86,0.0,0.0,64,35.5,-28.5,28.5,5.0,16.0,4.935690879821777,5.140325890030971,4.935690879821777,8.765580177307129,0.9767441860465116,0.9302325581395349,12.064842224121094,220.91271968311412,331.0,1.6817357275068086,2.811108998954296,0.8241727537620245,16.94344139099121,0.0612,,
s1_z10560_y4480_x3520,1,,4337618,0.16065251851851853,11.75841236114502,0.06532451510429382,180.0,105.0,33938,bright,False,14.925,6.3115129470825195,2.8948755264282227,2.8948755264282227,"[2.834896612167358, 2.956191825866699]",0.12129521369934082,True,False,47.85044860839844,7.581454559245922,86,86,0.0,0.0,64,34.0,-26.5,26.5,3.0,14.925,2.806033134460449,2.7895689343297203,2.8201985359191895,4.691204071044922,0.9186046511627907,0.7441860465116279,7.503293037414551,162.34340082747593,314.0,0.8730608614687824,2.401745542883873,0.7824667430794345,14.910829544067383,0.051475,,
s1_z10880_y2560_x2560,1,,3623194,0.13419237037037038,12.067618370056152,0.0652303695678711,185.0,101.0,33860,bright,False,16.0,6.912348747253418,6.016475677490234,6.016475677490234,"[5.937293481826782, 6.0983757972717285]",0.1610823154449461,True,False,49.4124755859375,7.148434981028881,92,92,0.0,0.0,64,28.0,-24.5,24.5,6.5,16.0,5.913688659667969,6.043321060097736,5.913688659667969,9.616476821899415,0.9891304347826086,0.9891304347826086,14.279546737670898,163.17720369795478,288.0,-1.335194495192531,2.807607915252447,0.8178976664525798,12.856767654418945,0.10595,,
s1_z10880_y2880_x2560,1,,4293598,0.15902214814814813,13.547982215881348,0.06912235915660858,196.0,104.0,33753,bright,False,14.35,7.512794017791748,1.6653327941894531,1.6653327941894531,"[1.448012351989746, 1.8499373435974122]",0.40192499160766615,True,False,22.0592041015625,2.936218409465512,86,86,0.0,0.0,64,26.0,-23.0,23.0,4.0,14.35,2.1163673400878906,0.21585176157396893,3.9174375534057617,6.088887691497803,0.9418604651162791,0.8604651162790697,-13.430757522583008,155.8236297435449,308.0,-0.2612228102387926,2.5426278188824654,0.7980335625046204,13.473499298095703,0.07125,,
s1_z10880_y2880_x2880,1,,3737018,0.13840807407407407,12.835351943969727,0.06685078889131546,192.0,103.0,33334,bright,False,16.0,7.066527843475342,3.679872512817383,3.679872512817383,"[3.6034796237945557, 3.7572680950164794]",0.15378847122192374,True,False,61.16791534423828,8.656007122467615,88,88,0.0,0.0,64,29.5,-27.5,27.5,4.5,16.0,4.215670585632324,4.046362302520058,4.215670585632324,6.793107795715332,0.9431818181818182,0.8068181818181818,9.175439834594727,177.31584748297894,331.5,1.271796769015373,2.419158574193716,0.7846802529866479,14.850360870361328,0.048425,,
s1_z10880_y2880_x3200,1,,5123500,0.18975925925925927,12.743258476257324,0.0681457668542862,187.0,128.0,35149,bright,False,11.725,6.929372310638428,2.673699378967285,2.673699378967285,"[2.606665515899658, 2.7561171770095827]",0.14945166110992458,True,False,43.098182678222656,6.219637327331293,93,93,0.0,0.0,64,27.0,-20.5,20.5,2.5,11.725,2.686033248901367,2.7279791883243028,2.686033248901367,5.192387008666992,0.8494623655913979,0.6451612903225806,6.66731071472168,132.6280697247871,312.0,-0.9314552711423313,2.3478978350758553,0.7783057568713251,12.321210861206055,0.07205,,
s1_z10880_y3200_x3520,1,,5172369,0.19156922222222222,11.6351900100708,0.06573553383350372,177.0,125.0,34950,bright,False,11.725,6.089539051055908,2.5728025436401367,2.5728025436401367,"[2.5202327966690063, 2.628418970108032]",0.1081861734390257,True,False,44.69981384277344,7.340426503221557,96,97,0.010309278350515464,0.0,64,21.5,-20.5,20.5,2.5,11.725,2.45843505859375,2.5767492055892944,2.4864368438720703,4.717942237854004,0.8333333333333334,0.625,9.088115692138672,149.0196409168385,335.0,1.0178345871244157,2.3274467140436172,0.7737015663643858,13.519344329833984,0.06125,,
s1_z10880_y3520_x3520,1,,3730585,0.13816981481481483,9.132158279418945,0.058166611939668655,157.0,119.0,34052,bright,False,14.425,4.752736568450928,2.63649845123291,2.63649845123291,"[2.563491439819336, 2.699735403060913]",0.13624396324157706,True,False,45.59252166748047,9.592898956388101,92,92,0.0,0.0,64,28.0,-26.5,26.5,2.5,14.425,3.037839889526367,3.042508788730787,3.037839889526367,5.863821983337402,0.8369565217391305,0.6847826086956522,10.574978828430176,207.4788991096966,313.5,0.9398057751108251,2.2962464299052954,0.7687647140285279,15.128085136413574,0.043125,,
s1_z10880_y3520_x3840,1,,3940609,0.14594848148148148,9.316725730895996,0.06089363247156143,153.0,116.0,35407,bright,False,12.950000000000001,5.344873905181885,3.0303897857666016,3.0303897857666016,"[2.9283220291137697, 3.1321558475494387]",0.20383381843566895,True,False,26.567550659179688,4.970659950166888,82,82,0.0,0.0,64,21.0,-27.0,21.0,3.5,12.950000000000001,2.8405795097351074,3.179130426267298,2.906841278076172,6.97612705230713,0.8292682926829268,0.6097560975609756,10.138014793395996,133.2190237888155,370.5,-0.7649292930894794,2.4101805984973907,0.779777582674861,12.082846641540527,0.07365,,
s1_z10880_y3840_x2240,1,,5868021,0.21733411111111112,13.879948616027832,0.0742243230342865,187.0,135.0,34821,bright,False,12.55,7.8429436683654785,3.535161018371582,3.535161018371582,"[3.4263362884521484, 3.6326935291290283]",0.20635724067687988,True,False,27.45227813720703,3.5002518567022003,95,96,0.010416666666666666,0.0,64,26.5,-19.0,19.0,4.0,12.55,3.470484733581543,3.883938859638415,3.470484733581543,7.514009666442871,0.9157894736842105,0.8105263157894737,10.209757804870605,81.14671076002395,297.0,-0.8542584332873971,2.5765784457325935,0.7942417566003211,9.335411071777344,0.11795,,
s1_z10880_y3840_x3520,1,,3572671,0.13232114814814816,10.408671379089355,0.06195637583732605,168.0,116.0,33618,bright,False,16.0,5.399179935455322,4.556724548339844,4.556724548339844,"[4.449610900878906, 4.679398059844971]",0.22978715896606428,True,False,44.73980712890625,8.286407873741897,88,88,0.0,0.0,64,25.5,-26.5,25.5,5.5,16.0,4.958521842956543,5.060337348417803,5.064243316650391,9.594573020935059,0.9545454545454546,0.8522727272727273,13.010738372802734,187.03043212167864,318.5,1.2678553907086265,2.5291526205837727,0.7957565776875646,14.444613456726074,0.064675,,
