name,has_image,has_label,label_shape,label_plane_shape,label_dtype,label_compression,label_bytes,label_header_error,image_shape,image_plane_shape,image_dtype,image_compression,image_bytes,image_header_error,shape,dtype,values,value_fractions_0,value_fractions_1,value_fractions_2,n_values,foreground_fraction,border_touch_fraction,per_class_1,per_class_2,surface_class,surface_fraction,surface_thickness_median,surface_thickness_p95,surface_components,surface_fragment_fraction,surface_worst_planarity
sample_00011,True,True,"[320, 320, 320]",,uint8,LZW,654121,,"[320, 320, 320]",,uint8,LZW,30993058,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.22920343017578124,0.05275820922851562,0.7180383605957031,3,0.7707965698242187,0.024325484484545596,"{'fraction': 0.05275820922851562, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 4.0, 'mean': 2.659820079803467, 'saturated': 0.3290428342282799}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.17157580977578998, 'fragment_fraction': 0.0, 'median_planarity': 0.004705166288416365, 'worst_planarity': 0.010730067370694409}}","{'fraction': 0.7180383605957031, 'border_touch_fraction': 0.02611281099862759, 'skipped': 'fraction 0.72 exceeds sheet_fraction_max'}",1,0.05275820922851562,2.0,4.0,8,0.0,0.010730067370694409
sample_00012,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,31361317,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.3375872802734375,0.05579953002929688,0.6066131896972656,3,0.6624127197265625,0.02830561588210416,"{'fraction': 0.05579953002929688, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.709089994430542, 'saturated': 0.0001996238321322177}, 'components': {'n_components': 7, 'n_components_ge_min_size': 7, 'largest_component_fraction': 0.1699400417514612, 'fragment_fraction': 0.0, 'median_planarity': 0.0057878863380925755, 'worst_planarity': 0.01035353149310498}}","{'fraction': 0.6066131896972656, 'border_touch_fraction': 0.030909318027452243, 'skipped': 'fraction 0.61 exceeds sheet_fraction_max'}",1,0.05579953002929688,2.0,4.0,7,0.0,0.01035353149310498
sample_00013,True,True,"[320, 320, 320]",,uint8,LZW,753817,,"[320, 320, 320]",,uint8,LZW,34129525,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.15484246826171874,0.029949462890625,0.8152080688476563,3,0.8451575317382812,0.022185213165450777,"{'fraction': 0.029949462890625, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.804680109024048, 'saturated': 0.0002588181588450596}, 'components': {'n_components': 3, 'n_components_ge_min_size': 3, 'largest_component_fraction': 0.34418127868398096, 'fragment_fraction': 0.0, 'median_planarity': 0.008905395157334753, 'worst_planarity': 0.010550693072993705}}","{'fraction': 0.8152080688476563, 'border_touch_fraction': 0.023000263020585908, 'skipped': 'fraction 0.82 exceeds sheet_fraction_max'}",1,0.029949462890625,2.0,4.0,3,0.0,0.010550693072993705
sample_00014,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,35305129,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.37310992431640627,0.07454763793945313,0.5523424377441406,3,0.6268900756835938,0.029909549899245123,"{'fraction': 0.07454763793945313, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7368600368499756, 'saturated': 0.00014246081406530354}, 'components': {'n_components': 13, 'n_components_ge_min_size': 13, 'largest_component_fraction': 0.13020181539289097, 'fragment_fraction': 0.0, 'median_planarity': 0.0139462009455166, 'worst_planarity': 0.03424007899389308}}","{'fraction': 0.5523424377441406, 'border_touch_fraction': 0.03394633241758166, 'skipped': 'fraction 0.55 exceeds sheet_fraction_max'}",1,0.07454763793945313,2.0,4.0,13,0.0,0.03424007899389308
sample_00015,True,True,"[320, 320, 320]",,uint8,LZW,443593,,"[320, 320, 320]",,uint8,LZW,31598440,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.18563601684570313,0.03574710083007813,0.7786168823242188,3,0.8143639831542969,0.023024102720475365,"{'fraction': 0.03574710083007813, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.649630069732666, 'saturated': 1.0244493371385935e-05}, 'components': {'n_components': 4, 'n_components_ge_min_size': 4, 'largest_component_fraction': 0.25321485007610806, 'fragment_fraction': 0.0, 'median_planarity': 0.0013420840207344167, 'worst_planarity': 0.004569159510567251}}","{'fraction': 0.7786168823242188, 'border_touch_fraction': 0.024081162925764094, 'skipped': 'fraction 0.78 exceeds sheet_fraction_max'}",1,0.03574710083007813,2.0,4.0,4,0.0,0.004569159510567251
sample_00016,True,True,"[320, 320, 320]",,uint8,LZW,899641,,"[320, 320, 320]",,uint8,LZW,29123664,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.6110146484375,0.06951663208007812,0.3194687194824219,3,0.3889853515625,0.0482023292771408,"{'fraction': 0.06951663208007812, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.677489995956421, 'saturated': 5.311861122488444e-05}, 'components': {'n_components': 11, 'n_components_ge_min_size': 11, 'largest_component_fraction': 0.13401298815893967, 'fragment_fraction': 0.0, 'median_planarity': 0.009081838291931935, 'worst_planarity': 0.02846023680978363}}","{'fraction': 0.3194687194824219, 'border_touch_fraction': 0.05869119214669053, 'skipped': 'fraction 0.32 exceeds sheet_fraction_max'}",1,0.06951663208007812,2.0,4.0,11,0.0,0.02846023680978363
sample_00017,True,True,"[320, 320, 320]",,uint8,LZW,643961,,"[320, 320, 320]",,uint8,LZW,36727318,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.09615530395507813,0.026715667724609374,0.8771290283203125,3,0.9038446960449219,0.02074471430993285,"{'fraction': 0.026715667724609374, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.745529890060425, 'saturated': 0.00021018506566569838}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.2735570052740459, 'fragment_fraction': 0.0, 'median_planarity': 0.01654843231823115, 'worst_planarity': 0.02078759768516485}}","{'fraction': 0.8771290283203125, 'border_touch_fraction': 0.021376558516032627, 'skipped': 'fraction 0.88 exceeds sheet_fraction_max'}",1,0.026715667724609374,2.0,4.0,5,0.0,0.02078759768516485
sample_00018,True,True,"[320, 320, 320]",,uint8,LZW,698873,,"[320, 320, 320]",,uint8,LZW,33351926,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.2474979248046875,0.030993560791015624,0.7215085144042969,3,0.7525020751953125,0.024916874807466044,"{'fraction': 0.030993560791015624, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7249600887298584, 'saturated': 0.00012603424389792407}, 'components': {'n_components': 7, 'n_components_ge_min_size': 7, 'largest_component_fraction': 0.2934953529795775, 'fragment_fraction': 0.0, 'median_planarity': 0.0254718088815887, 'worst_planarity': 0.031654295187112026}}","{'fraction': 0.7215085144042969, 'border_touch_fraction': 0.025987219312970503, 'skipped': 'fraction 0.72 exceeds sheet_fraction_max'}",1,0.030993560791015624,2.0,4.0,7,0.0,0.031654295187112026
sample_00019,True,True,"[320, 320, 320]",,uint8,LZW,1101545,,"[320, 320, 320]",,uint8,LZW,32982265,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.44762957763671873,0.07853189086914063,0.4738385314941406,3,0.5523704223632813,0.033944612602136326,"{'fraction': 0.07853189086914063, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.682620048522949, 'saturated': 4.779793365258208e-05}, 'components': {'n_components': 12, 'n_components_ge_min_size': 12, 'largest_component_fraction': 0.11990325387347849, 'fragment_fraction': 0.0, 'median_planarity': 0.005990050179706573, 'worst_planarity': 0.032005542035613364}}","{'fraction': 0.4738385314941406, 'border_touch_fraction': 0.03957044173017377, 'skipped': 'fraction 0.47 exceeds sheet_fraction_max'}",1,0.07853189086914063,2.0,4.0,12,0.0,0.032005542035613364
sample_00020,True,True,"[320, 320, 320]",,uint8,LZW,516489,,"[320, 320, 320]",,uint8,LZW,30171101,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.31897515869140625,0.045283660888671876,0.6357411804199219,3,0.6810248413085938,0.02753203534245792,"{'fraction': 0.045283660888671876, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.6601901054382324, 'saturated': 5.391362363573261e-06}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.20059102809910673, 'fragment_fraction': 0.0, 'median_planarity': 0.00203319833240633, 'worst_planarity': 0.009174449705250439}}","{'fraction': 0.6357411804199219, 'border_touch_fraction': 0.02949313427771847, 'skipped': 'fraction 0.64 exceeds sheet_fraction_max'}",1,0.045283660888671876,2.0,4.0,5,0.0,0.009174449705250439
sample_00021,True,True,"[320, 320, 320]",,uint8,LZW,666041,,"[320, 320, 320]",,uint8,LZW,29804929,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.40170553588867186,0.04555682373046875,0.5527376403808594,3,0.5982944641113281,0.031339083218578936,"{'fraction': 0.04555682373046875, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.6701200008392334, 'saturated': 9.378311716324828e-06}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.20224865119781138, 'fragment_fraction': 0.0, 'median_planarity': 0.003871944093611867, 'worst_planarity': 0.011284864205359357}}","{'fraction': 0.5527376403808594, 'border_touch_fraction': 0.03392206108323013, 'skipped': 'fraction 0.55 exceeds sheet_fraction_max'}",1,0.04555682373046875,2.0,4.0,5,0.0,0.011284864205359357
sample_00022,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,31894846,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.3824151916503906,0.06301544189453125,0.5545693664550781,3,0.6175848083496094,0.03036020275515875,"{'fraction': 0.06301544189453125, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7543299198150635, 'saturated': 0.000246502234985883}, 'components': {'n_components': 7, 'n_components_ge_min_size': 7, 'largest_component_fraction': 0.15869077771697282, 'fragment_fraction': 0.0, 'median_planarity': 0.009575274642977628, 'worst_planarity': 0.015612440316260419}}","{'fraction': 0.5545693664550781, 'border_touch_fraction': 0.033810017527390435, 'skipped': 'fraction 0.55 exceeds sheet_fraction_max'}",1,0.06301544189453125,2.0,4.0,7,0.0,0.015612440316260419
sample_00023,True,True,"[320, 320, 320]",,uint8,LZW,668713,,"[320, 320, 320]",,uint8,LZW,32249785,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.09972222900390625,0.023123016357421877,0.8771547546386719,3,0.9002777709960937,0.020826905433035905,"{'fraction': 0.023123016357421877, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7714500427246094, 'saturated': 7.258857455836451e-05}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.4212460158771009, 'fragment_fraction': 0.0, 'median_planarity': 0.002487685402187708, 'worst_planarity': 0.003505788318443024}}","{'fraction': 0.8771547546386719, 'border_touch_fraction': 0.021375931556939145, 'skipped': 'fraction 0.88 exceeds sheet_fraction_max'}",1,0.023123016357421877,2.0,4.0,5,0.0,0.003505788318443024
sample_00024,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,36906405,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.20131948852539064,0.050890625,0.7477898864746094,3,0.7986805114746094,0.023476220754882007,"{'fraction': 0.050890625, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.777980089187622, 'saturated': 7.555841264967762e-05}, 'components': {'n_components': 6, 'n_components_ge_min_size': 6, 'largest_component_fraction': 0.22755735243322076, 'fragment_fraction': 0.0, 'median_planarity': 0.004607675135399806, 'worst_planarity': 0.00962765243098646}}","{'fraction': 0.7477898864746094, 'border_touch_fraction': 0.025073888185885008, 'skipped': 'fraction 0.75 exceeds sheet_fraction_max'}",1,0.050890625,2.0,4.0,6,0.0,0.00962765243098646
sample_00025,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,34449311,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.440748779296875,0.07707131958007812,0.4821799011230469,3,0.559251220703125,0.03352697196874483,"{'fraction': 0.07707131958007812, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.667220115661621, 'saturated': 1.3066859158660575e-05}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.11961917628895656, 'fragment_fraction': 0.0, 'median_planarity': 0.002541920613154977, 'worst_planarity': 0.012449382536054165}}","{'fraction': 0.4821799011230469, 'border_touch_fraction': 0.03888590120892495, 'skipped': 'fraction 0.48 exceeds sheet_fraction_max'}",1,0.07707131958007812,2.0,4.0,15,0.0,0.012449382536054165
sample_00026,True,True,"[320, 320, 320]",,uint8,LZW,663849,,"[320, 320, 320]",,uint8,LZW,31490138,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.5100180358886719,0.06658154296875,0.42340042114257814,3,0.4899819641113281,0.03826671464123491,"{'fraction': 0.06658154296875, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.6584999561309814, 'saturated': 1.5125514267485095e-05}, 'components': {'n_components': 10, 'n_components_ge_min_size': 10, 'largest_component_fraction': 0.13639455408150544, 'fragment_fraction': 0.0, 'median_planarity': 0.0015599838142792192, 'worst_planarity': 0.004105579589443424}}","{'fraction': 0.42340042114257814, 'border_touch_fraction': 0.044284320618769586, 'skipped': 'fraction 0.42 exceeds sheet_fraction_max'}",1,0.06658154296875,2.0,4.0,10,0.0,0.004105579589443424
sample_00027,True,True,"[320, 320, 320]",,uint8,LZW,698377,,"[320, 320, 320]",,uint8,LZW,31593195,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.27001419067382815,0.03919976806640625,0.6907860412597656,3,0.7299858093261719,0.02568543081311069,"{'fraction': 0.03919976806640625, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.6691300868988037, 'saturated': 4.3596798126583304e-05}, 'components': {'n_components': 7, 'n_components_ge_min_size': 7, 'largest_component_fraction': 0.23448460020957604, 'fragment_fraction': 0.0, 'median_planarity': 0.0026255779599710415, 'worst_planarity': 0.004452794099929435}}","{'fraction': 0.6907860412597656, 'border_touch_fraction': 0.02714299201212316, 'skipped': 'fraction 0.69 exceeds sheet_fraction_max'}",1,0.03919976806640625,2.0,4.0,7,0.0,0.004452794099929435
sample_00028,True,True,"[320, 320, 320]",,uint8,LZW,1084633,,"[320, 320, 320]",,uint8,LZW,33041903,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.20626193237304688,0.045380767822265626,0.7483572998046875,3,0.7937380676269531,0.023622402357564968,"{'fraction': 0.045380767822265626, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7130799293518066, 'saturated': 2.084682492769178e-05}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.20975201020552953, 'fragment_fraction': 0.0, 'median_planarity': 0.0028786505250680996, 'worst_planarity': 0.0032026016347652085}}","{'fraction': 0.7483572998046875, 'border_touch_fraction': 0.02505487686816649, 'skipped': 'fraction 0.75 exceeds sheet_fraction_max'}",1,0.045380767822265626,2.0,4.0,5,0.0,0.0032026016347652085
sample_00029,True,True,"[320, 320, 320]",,uint8,LZW,998121,,"[320, 320, 320]",,uint8,LZW,37388414,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.13266387939453125,0.040567840576171875,0.8267682800292969,3,0.8673361206054687,0.02161791669290912,"{'fraction': 0.040567840576171875, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7915499210357666, 'saturated': 5.4162745509569883e-05}, 'components': {'n_components': 6, 'n_components_ge_min_size': 6, 'largest_component_fraction': 0.25939968119206186, 'fragment_fraction': 0.0, 'median_planarity': 0.0011894309904471882, 'worst_planarity': 0.0018755836082255646}}","{'fraction': 0.8267682800292969, 'border_touch_fraction': 0.022678663965356272, 'skipped': 'fraction 0.83 exceeds sheet_fraction_max'}",1,0.040567840576171875,2.0,4.0,6,0.0,0.0018755836082255646
sample_00030,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,36799688,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.480075927734375,0.07385665893554688,0.4460674133300781,3,0.519924072265625,0.036062958035958714,"{'fraction': 0.07385665893554688, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.8053700923919678, 'saturated': 8.718521900637774e-05}, 'components': {'n_components': 16, 'n_components_ge_min_size': 16, 'largest_component_fraction': 0.14306805198883532, 'fragment_fraction': 0.0, 'median_planarity': 0.0014949799883973809, 'worst_planarity': 0.006285318075064412}}","{'fraction': 0.4460674133300781, 'border_touch_fraction': 0.04203400526396555, 'skipped': 'fraction 0.45 exceeds sheet_fraction_max'}",1,0.07385665893554688,2.0,4.0,16,0.0,0.006285318075064412
