name,has_image,has_label,label_shape,label_plane_shape,label_dtype,label_compression,label_bytes,label_header_error,image_shape,image_plane_shape,image_dtype,image_compression,image_bytes,image_header_error
sample_00029,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00029.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00029.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00030,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00030.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00030.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00031,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00031.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00031.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00032,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00032.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00032.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00033,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00033.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00033.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00034,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00034.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00034.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00035,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00035.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00035.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00036,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00036.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00036.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00037,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00037.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00037.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00038,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00038.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00038.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00039,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00039.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00039.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00040,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00040.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00040.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00041,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00041.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00041.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00042,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00042.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00042.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00043,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00043.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00043.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00044,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00044.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00044.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00045,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00045.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00045.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00046,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00046.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00046.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
sample_00047,True,True,,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/labels/sample_00047.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,"range request failed: ConnectionError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /buckets/scrollprize/datasets/resolve/surfaces/kaggle/images/sample_00047.tif (Caused by NameResolutionError(""HTTPSConnection(host='huggingface.co', port=443): Failed to resolve 'huggingface.co' ([Errno 8] nodename nor servname provided, or not known)""))"
