scroll,window_z,wrap,area_cm2,n_comp_fwd,n_comp_rev,pitch_fwd_dark,pitch_rev_dark,pitch_fwd_light,pitch_rev_light,gate_verdict,path
PHerc0125,17136,w080,8.30,104,111,0.1345,0.7465,0.8425,0.7325,,meshes/PHerc0125/z17136_w080
PHerc0125,17136,w100,10.05,86,81,0.111,0.0005,0.3025,0.232,,meshes/PHerc0125/z17136_w100
PHerc0211,3712,w020,1.98,28,20,0.846,0.193,0.7655,0.279,aprova,meshes/PHerc0211/z3712_w020
PHerc0211,3712,w040,3.98,67,55,0.901,0.9355,0.926,0.5225,,meshes/PHerc0211/z3712_w040
PHerc0211,3712,w060,5.86,88,74,0.0375,0.514,0.5695,0.985,,meshes/PHerc0211/z3712_w060
PHerc0211,3712,w080,7.37,89,93,0.25,0.788,0.2915,0.355,,meshes/PHerc0211/z3712_w080
PHerc0211,3712,w100,8.61,151,141,0.855,0.294,0.699,0.3215,,meshes/PHerc0211/z3712_w100
PHerc0211,4320,w020,1.90,21,14,0.4725,,0.442,0.431,reprova,meshes/PHerc0211/z4320_w020
PHerc0211,4320,w040,3.89,45,46,0.9335,0.091,0.1,0.6535,,meshes/PHerc0211/z4320_w040
PHerc0211,4320,w060,6.14,81,70,0.0335,0.9515,0.9775,0.5705,,meshes/PHerc0211/z4320_w060
PHerc0211,4320,w080,8.33,151,141,0.02,0.365,0.8235,0.877,,meshes/PHerc0211/z4320_w080
PHerc0211,4320,w100,10.06,82,84,0.8605,0.25,0.4115,0.187,,meshes/PHerc0211/z4320_w100
PHerc0211,4912,w020,2.01,28,14,0.521,0.607,0.7,0.824,aprova,meshes/PHerc0211/z4912_w020
PHerc0211,4912,w040,4.10,48,29,0.267,0.278,0.4715,0.847,,meshes/PHerc0211/z4912_w040
PHerc0211,4912,w060,6.30,78,78,0.685,0.823,0.2195,0.0455,,meshes/PHerc0211/z4912_w060
PHerc0211,4912,w080,8.46,114,131,0.2305,0.673,0.95,0.7745,reprova,meshes/PHerc0211/z4912_w080
PHerc0211,4912,w100,9.77,87,86,0.8825,0.722,0.511,0.2235,,meshes/PHerc0211/z4912_w100
PHerc0211,5520,w020,1.87,36,19,0.2405,,0.145,0.269,aprova,meshes/PHerc0211/z5520_w020
PHerc0211,5520,w040,3.99,66,37,0.809,0.768,0.9505,0.5435,,meshes/PHerc0211/z5520_w040
PHerc0211,5520,w060,6.26,65,46,0.9295,0.0975,0.8785,0.3095,,meshes/PHerc0211/z5520_w060
PHerc0211,5520,w080,8.62,155,147,0.2435,0.2305,0.6335,0.562,,meshes/PHerc0211/z5520_w080
PHerc0211,5520,w100,9.75,58,70,0.2135,0.542,0.3315,0.4205,,meshes/PHerc0211/z5520_w100
PHerc0211,6112,w020,1.95,39,17,0.9455,0.519,0.3495,0.459,aprova,meshes/PHerc0211/z6112_w020
PHerc0211,6112,w040,4.10,48,30,0.703,0.472,0.3775,0.0425,,meshes/PHerc0211/z6112_w040
PHerc0211,6112,w060,6.42,65,57,0.6895,0.546,0.786,0.705,,meshes/PHerc0211/z6112_w060
PHerc0211,6112,w080,8.72,160,158,0.72,0.927,0.7225,0.281,parcial,meshes/PHerc0211/z6112_w080
PHerc0211,6112,w100,9.50,63,61,0.698,0.1725,0.94,0.9715,,meshes/PHerc0211/z6112_w100
PHerc0211,6720,w020,1.96,36,20,0.5675,0.4455,0.594,0.5015,aprova,meshes/PHerc0211/z6720_w020
PHerc0211,6720,w040,4.17,43,40,0.305,0.152,0.6875,0.9885,,meshes/PHerc0211/z6720_w040
PHerc0211,6720,w060,6.43,56,65,0.643,0.376,0.797,0.001,parcial,meshes/PHerc0211/z6720_w060
PHerc0211,6720,w080,8.65,133,121,0.045,0.2105,0.6115,0.771,,meshes/PHerc0211/z6720_w080
PHerc0211,6720,w100,9.28,16,19,,,0.94,0.6045,reprova,meshes/PHerc0211/z6720_w100
PHerc0211,7312,w020,1.97,,,,,,,,meshes/PHerc0211/z7312_w020
PHerc0211,7312,w040,4.10,,,,,,,,meshes/PHerc0211/z7312_w040
PHerc0211,7312,w060,6.42,,,,,,,,meshes/PHerc0211/z7312_w060
PHerc0211,7312,w080,8.59,,,,,,,,meshes/PHerc0211/z7312_w080
PHerc0211,7312,w100,9.30,,,,,,,,meshes/PHerc0211/z7312_w100
PHerc0211,7920,w020,1.85,42,29,0.832,0.4345,0.736,0.4405,aprova,meshes/PHerc0211/z7920_w020
PHerc0211,7920,w040,3.90,48,42,0.982,0.5385,0.5365,0.629,,meshes/PHerc0211/z7920_w040
PHerc0211,7920,w060,6.23,66,55,0.583,0.654,0.288,0.705,,meshes/PHerc0211/z7920_w060
PHerc0211,7920,w080,8.31,156,128,0.869,0.5315,0.0065,0.3515,,meshes/PHerc0211/z7920_w080
PHerc0211,7920,w100,9.35,39,45,0.928,,0.8905,0.8005,,meshes/PHerc0211/z7920_w100
PHerc0211,9120,w020,2.09,36,40,0.3185,0.6855,0.881,0.853,aprova,meshes/PHerc0211/z9120_w020
PHerc0211,9120,w040,4.16,61,44,0.037,0.689,0.431,0.071,,meshes/PHerc0211/z9120_w040
PHerc0211,9120,w060,6.36,65,55,0.363,0.521,0.476,0.506,,meshes/PHerc0211/z9120_w060
PHerc0211,9120,w080,8.78,144,152,0.99,0.329,0.79,0.426,,meshes/PHerc0211/z9120_w080
PHerc0211,9120,w100,9.37,13,7,,,0.987,0.8795,reprova,meshes/PHerc0211/z9120_w100
PHerc0211,9712,w020,2.07,,,,,,,,meshes/PHerc0211/z9712_w020
PHerc0211,9712,w040,4.41,,,,,,,,meshes/PHerc0211/z9712_w040
PHerc0211,9712,w060,6.54,,,,,,,,meshes/PHerc0211/z9712_w060
PHerc0211,9712,w080,9.35,,,,,,,,meshes/PHerc0211/z9712_w080
PHerc0211,9712,w100,9.57,,,,,,,,meshes/PHerc0211/z9712_w100
PHerc0211,10320,w020,2.25,35,20,0.6255,0.34,0.516,0.3385,aprova,meshes/PHerc0211/z10320_w020
PHerc0211,10320,w040,4.58,81,50,0.8615,0.4875,0.25,0.5415,,meshes/PHerc0211/z10320_w040
PHerc0211,10320,w060,6.57,79,69,0.4885,0.4455,0.3025,0.809,,meshes/PHerc0211/z10320_w060
PHerc0211,10320,w080,8.65,101,115,0.7075,0.401,0.0565,0.5125,,meshes/PHerc0211/z10320_w080
PHerc0211,10320,w100,9.86,54,75,0.037,0.923,0.995,0.3015,,meshes/PHerc0211/z10320_w100
PHerc0211,10912,w020,2.20,37,28,0.3025,0.2825,0.036,0.8925,reprova,meshes/PHerc0211/z10912_w020
PHerc0211,10912,w040,4.26,65,38,0.819,0.304,0.789,0.8465,,meshes/PHerc0211/z10912_w040
PHerc0211,10912,w060,6.23,88,66,0.7355,0.814,0.629,0.967,,meshes/PHerc0211/z10912_w060
PHerc0211,10912,w080,8.28,108,88,0.663,0.6655,0.882,0.693,,meshes/PHerc0211/z10912_w080
PHerc0211,10912,w100,10.03,104,141,0.9805,0.502,0.9935,0.199,,meshes/PHerc0211/z10912_w100
PHerc0211,11520,w020,1.97,41,22,0.492,,0.687,0.333,aprova,meshes/PHerc0211/z11520_w020
PHerc0211,11520,w040,3.88,56,43,0.6855,0.359,0.0415,0.4085,reprova,meshes/PHerc0211/z11520_w040
PHerc0211,11520,w060,5.59,84,88,0.522,0.681,0.9105,0.4385,,meshes/PHerc0211/z11520_w060
PHerc0211,11520,w080,7.52,110,125,0.409,0.9195,0.829,0.5645,,meshes/PHerc0211/z11520_w080
PHerc0211,11520,w100,9.47,140,123,0.1955,0.8375,0.992,0.074,,meshes/PHerc0211/z11520_w100
PHerc0211,12112,w020,1.67,37,31,0.3445,0.4445,0.6855,0.741,reprova,meshes/PHerc0211/z12112_w020
PHerc0211,12112,w040,3.80,71,57,0.849,0.2955,0.2945,0.6265,,meshes/PHerc0211/z12112_w040
PHerc0211,12112,w060,5.60,94,98,0.2085,0.2365,0.049,0.4285,,meshes/PHerc0211/z12112_w060
PHerc0211,12112,w080,7.28,134,146,0.913,0.992,0.9815,0.7935,,meshes/PHerc0211/z12112_w080
PHerc0211,12112,w100,9.31,107,114,0.428,0.94,0.8435,0.92,,meshes/PHerc0211/z12112_w100
PHerc0211,12720,w020,2.19,35,41,,0.583,0.709,0.7455,reprova,meshes/PHerc0211/z12720_w020
PHerc0211,12720,w040,4.07,82,79,0.375,0.372,0.226,0.076,,meshes/PHerc0211/z12720_w040
PHerc0211,12720,w060,6.03,106,84,0.0495,0.3275,0.4325,0.912,,meshes/PHerc0211/z12720_w060
PHerc0211,12720,w080,8.09,157,142,0.459,0.825,0.298,0.069,,meshes/PHerc0211/z12720_w080
PHerc0211,12720,w100,10.53,134,159,0.211,0.0165,0.8795,0.9715,,meshes/PHerc0211/z12720_w100
PHerc0211,13312,w020,1.84,26,28,,0.646,0.2745,0.7105,reprova,meshes/PHerc0211/z13312_w020
PHerc0211,13312,w040,3.80,65,68,0.8335,0.732,0.6495,0.2435,,meshes/PHerc0211/z13312_w040
PHerc0211,13312,w060,5.90,90,90,0.463,0.9335,0.248,0.705,,meshes/PHerc0211/z13312_w060
PHerc0211,13312,w080,7.89,156,152,0.452,0.3685,0.39,0.9765,,meshes/PHerc0211/z13312_w080
PHerc0211,13312,w100,9.79,171,137,0.3975,0.7495,0.0565,0.82,,meshes/PHerc0211/z13312_w100
PHerc0211,13920,w020,1.64,11,16,,0.7065,0.6445,0.6185,aprova,meshes/PHerc0211/z13920_w020
PHerc0211,13920,w040,3.75,54,59,0.467,0.385,0.8035,0.789,,meshes/PHerc0211/z13920_w040
PHerc0211,13920,w060,5.92,133,119,0.447,0.502,0.9445,0.7245,,meshes/PHerc0211/z13920_w060
PHerc0211,13920,w080,8.00,159,161,0.8455,0.9875,0.612,0.089,reprova,meshes/PHerc0211/z13920_w080
PHerc0211,13920,w100,9.65,157,151,0.5245,0.8285,0.298,0.377,,meshes/PHerc0211/z13920_w100
PHerc0211,14512,w020,1.70,22,21,0.6295,0.3415,0.31,0.9885,parcial,meshes/PHerc0211/z14512_w020
PHerc0211,14512,w040,3.69,61,56,0.7305,0.54,0.1005,0.945,,meshes/PHerc0211/z14512_w040
PHerc0211,14512,w060,5.93,103,124,0.315,0.4625,0.457,0.627,,meshes/PHerc0211/z14512_w060
PHerc0211,14512,w080,7.75,150,175,0.657,0.882,0.919,0.5605,parcial,meshes/PHerc0211/z14512_w080
PHerc0211,14512,w100,9.36,150,168,0.07,0.1995,0.95,0.0745,parcial,meshes/PHerc0211/z14512_w100
PHerc0257,3744,w020,1.86,27,26,0.0945,,0.945,0.6295,,meshes/PHerc0257/z3744_w020
PHerc0257,3744,w040,3.63,38,49,0.9375,0.8245,0.626,0.5535,,meshes/PHerc0257/z3744_w040
PHerc0257,3744,w060,5.58,82,73,0.4795,0.7995,0.37,0.1005,,meshes/PHerc0257/z3744_w060
PHerc0257,4352,w020,1.83,16,12,0.4645,,0.7865,0.7445,,meshes/PHerc0257/z4352_w020
PHerc0257,4352,w040,3.79,49,73,0.5035,0.3015,0.2095,0.906,,meshes/PHerc0257/z4352_w040
PHerc0257,4352,w060,5.98,72,97,0.675,0.907,0.896,0.827,,meshes/PHerc0257/z4352_w060
PHerc0268,3872,w020,1.68,33,23,,,0.4045,0.5875,,meshes/PHerc0268/z3872_w020
PHerc0268,3872,w040,3.37,45,51,0.4605,0.451,0.895,0.9645,,meshes/PHerc0268/z3872_w040
PHerc0268,3872,w060,4.91,65,68,0.486,0.17,0.7505,0.1185,,meshes/PHerc0268/z3872_w060
PHerc0268,12272,w020,1.53,27,22,0.7055,,0.844,0.8595,,meshes/PHerc0268/z12272_w020
PHerc0268,12272,w040,3.23,39,44,0.167,0.4385,0.701,0.286,,meshes/PHerc0268/z12272_w040
PHerc0268,12272,w060,4.85,68,54,0.9515,0.991,0.9335,0.546,,meshes/PHerc0268/z12272_w060
PHerc0358,11280,w020,1.65,41,38,0.531,1.0,0.1725,0.7605,,meshes/PHerc0358/z11280_w020
PHerc0358,11280,w040,3.71,74,66,0.0725,0.795,0.0405,0.909,,meshes/PHerc0358/z11280_w040
PHerc0358,11280,w060,5.72,93,76,0.6325,0.2065,0.147,0.707,,meshes/PHerc0358/z11280_w060
PHerc0800,5664,w020,1.74,33,26,0.2955,0.5185,0.8765,0.044,aprova,meshes/PHerc0800/z5664_w020
PHerc0800,5664,w040,3.74,37,40,0.606,0.4245,0.941,0.8265,,meshes/PHerc0800/z5664_w040
PHerc0800,5664,w060,5.49,84,80,0.3025,0.2515,0.438,0.6535,,meshes/PHerc0800/z5664_w060
PHerc0800,5664,w080,6.98,113,85,0.3895,0.379,0.2205,0.5465,,meshes/PHerc0800/z5664_w080
PHerc0800,5664,w100,8.48,108,107,0.4185,0.768,0.5755,0.9795,,meshes/PHerc0800/z5664_w100
PHerc0800,6272,w020,1.85,25,23,0.029,0.6975,0.4625,0.4145,parcial,meshes/PHerc0800/z6272_w020
PHerc0800,6272,w040,3.73,44,53,0.319,0.7875,0.945,0.349,,meshes/PHerc0800/z6272_w040
PHerc0800,6272,w060,5.48,85,69,0.6025,0.7405,0.81,0.834,,meshes/PHerc0800/z6272_w060
PHerc0800,6272,w080,7.06,114,102,0.8435,0.6465,0.811,0.097,,meshes/PHerc0800/z6272_w080
PHerc0800,6272,w100,8.46,121,120,0.3505,0.946,0.8375,0.618,,meshes/PHerc0800/z6272_w100
PHerc0800,6864,w020,1.78,14,24,,0.5495,0.494,0.1145,parcial,meshes/PHerc0800/z6864_w020
PHerc0800,6864,w040,3.71,49,35,0.2055,0.547,0.6985,0.2695,,meshes/PHerc0800/z6864_w040
PHerc0800,6864,w060,5.38,53,51,0.982,0.824,0.95,0.785,reprova,meshes/PHerc0800/z6864_w060
PHerc0800,6864,w080,6.85,73,74,0.6625,0.4555,0.943,0.8595,,meshes/PHerc0800/z6864_w080
PHerc0800,6864,w100,8.53,113,108,0.702,0.9835,0.872,0.6325,,meshes/PHerc0800/z6864_w100
PHerc0800,7472,w020,1.66,32,31,0.4225,0.1915,0.703,0.782,reprova,meshes/PHerc0800/z7472_w020
PHerc0800,7472,w040,3.37,56,48,0.7395,0.295,0.2535,0.831,,meshes/PHerc0800/z7472_w040
PHerc0800,7472,w060,5.27,92,79,0.6525,0.6105,0.803,0.8655,,meshes/PHerc0800/z7472_w060
PHerc0800,7472,w080,6.83,95,84,0.8005,0.9415,0.87,0.449,,meshes/PHerc0800/z7472_w080
PHerc0800,7472,w100,8.36,110,100,0.5595,0.52,0.113,0.4,,meshes/PHerc0800/z7472_w100
PHerc0800,8064,w020,1.69,22,13,0.4925,,0.658,0.9565,reprova,meshes/PHerc0800/z8064_w020
PHerc0800,8064,w040,3.37,29,33,0.146,0.4395,0.334,0.4035,,meshes/PHerc0800/z8064_w040
PHerc0800,8064,w060,5.13,51,48,0.1315,0.548,0.812,0.8025,,meshes/PHerc0800/z8064_w060
PHerc0800,8064,w080,6.72,88,74,0.9455,0.875,0.309,0.022,,meshes/PHerc0800/z8064_w080
PHerc0800,8064,w100,8.16,116,126,0.531,0.754,0.213,0.993,,meshes/PHerc0800/z8064_w100
PHerc0800,8672,w020,2.04,19,25,0.218,0.2555,0.784,0.4645,aprova,meshes/PHerc0800/z8672_w020
PHerc0800,8672,w040,3.85,59,67,0.625,0.7175,0.574,0.9355,aprova,meshes/PHerc0800/z8672_w040
PHerc0800,8672,w060,5.43,48,49,0.581,0.971,0.653,0.923,,meshes/PHerc0800/z8672_w060
PHerc0800,8672,w080,6.93,71,66,0.2345,0.896,0.955,0.345,,meshes/PHerc0800/z8672_w080
PHerc0800,8672,w100,8.04,116,108,0.496,0.936,0.286,0.395,,meshes/PHerc0800/z8672_w100
PHerc0800,9264,w020,1.96,25,25,,0.069,0.9155,0.971,aprova,meshes/PHerc0800/z9264_w020
PHerc0800,9264,w040,3.79,66,39,0.579,0.5065,0.301,0.7315,,meshes/PHerc0800/z9264_w040
PHerc0800,9264,w060,5.40,83,73,0.9975,0.742,0.064,0.725,,meshes/PHerc0800/z9264_w060
PHerc0800,9264,w080,7.05,79,85,0.682,0.6405,1.0,0.292,,meshes/PHerc0800/z9264_w080
PHerc0800,9264,w100,8.55,108,109,0.6915,0.8345,0.938,0.9525,,meshes/PHerc0800/z9264_w100
PHerc0800,9872,w020,1.88,15,40,,0.595,0.6245,0.28,aprova,meshes/PHerc0800/z9872_w020
PHerc0800,9872,w040,3.73,49,42,0.148,0.7845,0.2035,0.605,,meshes/PHerc0800/z9872_w040
PHerc0800,9872,w060,5.41,76,61,0.7015,0.843,0.072,0.9745,,meshes/PHerc0800/z9872_w060
PHerc0800,9872,w080,7.12,74,84,0.2405,0.908,0.764,0.9635,,meshes/PHerc0800/z9872_w080
PHerc0800,9872,w100,8.69,104,88,0.7425,0.7455,0.2885,0.7185,,meshes/PHerc0800/z9872_w100
PHerc0800,10464,w020,1.93,,,,,,,,meshes/PHerc0800/z10464_w020
PHerc0800,10464,w040,3.89,,,,,,,,meshes/PHerc0800/z10464_w040
PHerc0800,10464,w060,5.52,,,,,,,,meshes/PHerc0800/z10464_w060
PHerc0800,10464,w080,7.22,,,,,,,,meshes/PHerc0800/z10464_w080
PHerc0800,10464,w100,8.76,,,,,,,,meshes/PHerc0800/z10464_w100
PHerc0800,11072,w020,1.99,8,27,,0.0855,0.4885,0.774,aprova,meshes/PHerc0800/z11072_w020
PHerc0800,11072,w040,3.69,39,53,0.037,0.621,0.8845,0.943,aprova,meshes/PHerc0800/z11072_w040
PHerc0800,11072,w060,5.36,64,72,0.588,0.758,0.838,1.0,,meshes/PHerc0800/z11072_w060
PHerc0800,11072,w080,6.86,78,93,0.773,0.4975,0.992,0.065,,meshes/PHerc0800/z11072_w080
PHerc0800,11072,w100,8.44,91,96,0.679,0.9295,0.713,0.874,,meshes/PHerc0800/z11072_w100
PHerc0800,12272,w020,1.95,20,20,0.96,,0.5655,0.0135,aprova,meshes/PHerc0800/z12272_w020
PHerc0800,12272,w040,3.73,49,40,0.5765,0.6595,0.1355,0.9055,,meshes/PHerc0800/z12272_w040
PHerc0800,12272,w060,5.42,68,55,0.955,0.2185,0.9305,0.14,,meshes/PHerc0800/z12272_w060
PHerc0800,12272,w080,7.05,81,90,0.4455,0.465,0.8495,0.604,,meshes/PHerc0800/z12272_w080
PHerc0800,12272,w100,8.84,94,113,0.2475,0.724,0.1975,0.5995,,meshes/PHerc0800/z12272_w100
PHerc0800,12864,w020,1.87,,,,,,,,meshes/PHerc0800/z12864_w020
PHerc0800,12864,w040,3.85,,,,,,,,meshes/PHerc0800/z12864_w040
PHerc0800,12864,w060,5.47,,,,,,,,meshes/PHerc0800/z12864_w060
PHerc0800,12864,w080,7.11,,,,,,,,meshes/PHerc0800/z12864_w080
PHerc0800,12864,w100,8.55,,,,,,,,meshes/PHerc0800/z12864_w100
PHerc0800,13472,w020,1.86,23,24,,0.9405,0.391,0.3885,aprova,meshes/PHerc0800/z13472_w020
PHerc0800,13472,w040,3.80,40,39,0.692,0.8845,0.987,0.4935,,meshes/PHerc0800/z13472_w040
PHerc0800,13472,w060,5.62,65,54,0.9335,0.584,0.8505,0.4645,,meshes/PHerc0800/z13472_w060
PHerc0800,13472,w080,7.27,104,92,0.149,0.2285,0.859,0.4645,,meshes/PHerc0800/z13472_w080
PHerc0800,13472,w100,9.05,69,88,0.36,0.303,0.853,0.8635,,meshes/PHerc0800/z13472_w100
PHerc0800,14064,w020,1.91,20,16,,,0.395,0.5945,aprova,meshes/PHerc0800/z14064_w020
PHerc0800,14064,w040,3.80,51,48,0.639,0.3695,0.901,0.947,,meshes/PHerc0800/z14064_w040
PHerc0800,14064,w060,5.65,70,67,0.535,0.3465,0.3885,0.6655,,meshes/PHerc0800/z14064_w060
PHerc0800,14064,w080,7.33,110,106,0.174,0.674,0.6065,0.9305,,meshes/PHerc0800/z14064_w080
PHerc0800,14064,w100,9.18,92,89,0.384,0.35,0.183,0.323,,meshes/PHerc0800/z14064_w100
PHerc0800,14672,w020,1.78,13,22,,0.784,0.647,0.361,aprova,meshes/PHerc0800/z14672_w020
PHerc0800,14672,w040,3.57,37,37,0.213,0.532,0.9785,0.6535,,meshes/PHerc0800/z14672_w040
PHerc0800,14672,w060,5.13,49,37,0.1645,0.277,0.7345,0.4235,,meshes/PHerc0800/z14672_w060
PHerc0800,14672,w080,6.88,80,82,0.0435,0.48,0.831,0.3075,,meshes/PHerc0800/z14672_w080
PHerc0800,14672,w100,8.97,93,86,0.5265,0.893,0.998,0.1405,,meshes/PHerc0800/z14672_w100
PHerc0800,15264,w020,1.71,10,22,0.503,,0.289,0.472,aprova,meshes/PHerc0800/z15264_w020
PHerc0800,15264,w040,3.51,40,38,0.157,0.8205,0.926,0.545,,meshes/PHerc0800/z15264_w040
